Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,65,51,51,29,49,28,26,41,33,57,103,63,31,80,106,61,0,0,0,0
01:00,64,36,56,22,47,17,14,22,23,39,94,59,54,81,91,57,0,0,0,0
02:00,48,29,39,37,18,12,14,18,27,44,69,31,48,55,40,53,0,0,0,0
03:00,20,34,14,12,28,22,7,12,12,72,69,33,22,41,28,75,0,0,0,0
04:00,6,8,3,5,14,17,9,16,10,71,132,44,63,100,51,84,0,0,0,0
05:00,2,2,8,4,18,10,22,11,16,83,124,43,74,126,89,108,0,0,0,0
06:00,0,1,6,6,18,7,9,10,7,103,127,55,75,113,93,125,0,0,0,0
07:00,1,8,3,5,18,26,45,16,13,60,85,59,67,138,105,115,0,0,0,0
08:00,5,11,7,21,69,48,58,41,57,98,159,63,72,205,155,180,0,0,0,0
09:00,10,22,26,38,82,91,106,62,119,129,195,91,98,220,168,216,0,0,0,0
10:00,36,49,77,77,135,135,195,163,228,152,216,126,202,296,224,210,0,0,0,0
11:00,60,79,116,142,181,185,250,217,242,229,250,216,263,341,312,261,0,0,0,0
12:00,71,98,127,132,183,181,233,178,246,257,318,273,309,444,366,328,0,0,0,0
13:00,65,70,92,103,117,135,133,131,159,206,303,340,314,391,326,367,0,0,0,0
14:00,44,72,68,96,144,131,212,207,233,190,247,197,189,286,239,186,0,0,0,0
15:00,65,123,166,128,191,171,259,261,321,153,215,188,183,317,317,206,0,0,0,0
16:00,71,128,195,173,238,200,235,246,342,233,390,252,293,413,377,237,0,0,0,0
17:00,90,158,149,199,256,210,212,198,302,288,424,337,397,420,347,234,0,0,0,0
18:00,81,132,143,134,194,111,108,159,145,288,383,277,304,362,257,208,0,0,0,0
19:00,71,85,74,103,89,63,71,78,83,222,388,285,271,324,239,200,0,0,0,0
20:00,32,47,39,43,51,38,33,41,52,143,242,148,173,177,137,96,0,0,0,0
21:00,10,18,3,21,34,25,33,36,54,56,105,62,74,79,88,34,0,0,0,0
22:00,12,13,20,38,50,38,43,50,56,66,53,62,98,103,64,25,0,0,0,0
23:00,28,37,39,32,63,50,39,51,57,52,69,57,65,84,101,62,0,0,0,0
