Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,120,92,96,111,93,183,265,528,353,490,354,229,343,244,152,439,547,95,0,0
01:00,80,56,62,81,49,150,140,309,274,264,224,193,177,120,96,238,360,61,0,0
02:00,50,38,42,51,70,98,83,194,210,159,190,91,139,65,59,186,150,24,0,0
03:00,36,34,34,43,43,62,68,133,128,59,90,44,49,41,34,126,102,13,0,0
04:00,16,13,31,33,27,74,46,110,91,32,35,35,28,47,41,94,85,8,0,0
05:00,16,11,28,31,42,74,60,90,60,30,21,37,35,89,72,139,45,16,0,0
06:00,51,46,36,38,45,111,58,76,55,52,33,40,66,68,74,85,71,11,0,0
07:00,72,55,54,57,82,170,107,115,116,169,211,133,293,120,98,116,122,19,0,0
08:00,62,44,77,106,111,198,163,182,191,270,198,182,219,121,79,161,153,51,0,0
09:00,56,50,83,117,149,248,222,212,177,184,192,143,272,155,95,153,261,42,0,0
10:00,73,88,114,131,166,296,340,364,206,247,214,187,422,188,92,194,354,72,0,0
11:00,72,83,119,157,197,320,311,405,261,280,305,200,445,249,145,227,415,60,0,0
12:00,60,79,153,161,190,343,353,436,236,328,292,195,394,210,158,216,614,83,0,0
13:00,111,126,169,167,195,278,299,377,244,248,264,173,439,152,146,209,488,74,0,0
14:00,109,125,127,147,251,303,291,484,273,346,346,202,414,152,166,243,582,91,0,0
15:00,92,134,128,142,211,335,360,564,240,355,364,179,428,217,182,240,563,102,0,0
16:00,92,112,87,181,169,339,311,526,279,280,378,212,356,233,151,282,578,98,0,0
17:00,88,127,123,177,193,386,326,502,335,311,322,246,367,198,170,293,573,118,0,0
18:00,82,110,134,178,208,342,308,558,342,345,349,285,476,223,224,321,616,164,0,0
19:00,109,87,145,206,190,376,369,598,290,247,377,356,639,372,290,366,597,197,0,0
20:00,100,103,151,239,227,369,374,611,341,321,437,383,622,384,352,428,608,196,0,0
21:00,140,113,169,228,250,403,431,611,390,413,543,363,688,475,387,490,758,162,0,0
22:00,158,116,142,197,218,379,387,709,447,495,576,343,666,484,398,471,771,126,0,0
23:00,135,105,113,167,145,340,286,622,413,593,471,266,640,306,246,425,674,128,0,0
