Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,1,3,1,0,0,15,12,7,23,2,5,1,3,4,9,7,2,0
01:00,0,0,0,2,0,1,1,8,3,6,10,4,1,0,0,8,4,11,1,2
02:00,0,0,0,0,0,2,0,12,1,15,9,2,4,2,5,6,3,1,0,0
03:00,0,0,0,0,0,0,1,13,0,19,4,1,2,11,3,0,1,7,0,0
04:00,0,0,0,0,0,0,0,1,8,12,5,0,0,0,1,0,1,0,2,1
05:00,0,0,0,0,0,2,0,6,3,15,4,0,2,0,0,0,0,0,0,3
06:00,0,1,0,0,0,1,0,6,9,13,7,0,1,0,0,1,0,0,0,0
07:00,1,31,11,14,14,22,26,9,10,18,5,0,2,0,4,1,0,0,0,0
08:00,6,37,23,25,35,60,50,27,12,21,8,5,3,1,6,2,4,9,0,2
09:00,18,45,27,48,50,69,101,54,18,33,23,19,19,20,19,9,14,15,9,20
10:00,31,32,29,60,72,82,110,64,40,54,73,41,48,51,46,39,47,28,26,27
11:00,17,41,40,51,41,79,123,88,76,105,113,63,86,73,89,67,66,65,55,82
12:00,33,54,57,55,80,86,130,104,61,72,94,61,71,85,67,47,73,41,49,20
13:00,42,84,89,79,76,94,170,114,71,72,106,47,55,51,62,64,71,48,44,44
14:00,41,80,84,85,66,85,160,173,105,91,158,80,106,110,130,86,64,104,63,72
15:00,45,118,75,78,82,67,146,199,106,142,157,76,148,138,148,109,69,90,70,82
16:00,52,111,57,90,51,83,155,131,95,135,166,98,135,138,113,105,91,67,53,64
17:00,27,68,40,70,68,99,157,137,84,130,163,81,109,106,108,67,54,60,41,14
18:00,22,45,25,46,22,47,87,142,75,117,124,63,40,30,48,31,38,56,14,5
19:00,12,9,8,12,6,23,22,121,57,67,75,31,18,11,16,24,20,27,7,7
20:00,12,18,5,2,11,22,17,63,57,27,50,21,8,4,13,12,14,31,16,4
21:00,17,2,3,4,9,6,17,51,39,16,19,10,8,1,10,11,15,21,5,0
22:00,1,3,3,8,1,1,5,13,30,19,32,9,8,5,13,12,32,29,6,1
23:00,0,0,0,5,3,0,3,12,27,32,13,8,6,2,10,5,16,13,6,0
