Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,44,52,21,34,38,33,24,38,11,14,16,29,10,20
01:00,0,0,0,0,0,0,48,36,15,34,41,41,39,30,31,33,68,66,48,45
02:00,0,0,0,0,0,0,23,14,21,23,34,23,8,11,13,65,62,41,48,50
03:00,0,0,0,0,0,0,16,187,32,27,46,25,13,11,13,20,50,42,40,31
04:00,0,0,0,0,0,0,14,39,7,1,31,14,51,28,9,18,30,33,13,34
05:00,0,0,0,0,0,0,14,39,84,15,46,37,7,9,10,49,67,62,32,44
06:00,0,0,0,0,0,0,21,77,47,13,49,19,10,12,11,34,88,59,62,38
07:00,0,0,0,0,0,0,33,106,77,96,50,36,34,55,54,52,76,71,54,63
08:00,0,0,0,0,0,0,516,987,1072,778,265,95,72,201,139,124,140,124,71,47
09:00,0,0,0,0,0,0,328,735,677,363,326,223,231,323,234,336,259,221,118,131
10:00,0,0,0,0,0,0,451,1228,1153,522,461,363,378,529,365,388,359,308,275,251
11:00,0,0,0,0,0,0,509,1286,1390,546,400,370,375,524,307,349,279,304,241,177
12:00,0,0,0,0,0,0,415,965,1047,405,341,371,338,355,177,200,290,289,198,193
13:00,0,0,0,0,0,0,500,1118,1137,435,384,335,367,499,221,337,287,271,208,186
14:00,0,0,0,0,0,0,643,1522,1280,498,425,393,511,649,259,463,362,366,262,218
15:00,0,0,0,0,0,0,730,1553,1372,521,473,378,417,568,294,471,384,333,298,224
16:00,0,0,0,0,0,0,646,1479,1206,509,410,280,375,406,225,364,337,376,265,206
17:00,0,0,0,0,0,0,346,629,469,280,164,105,174,216,145,144,162,233,179,121
18:00,0,0,0,0,0,0,124,273,184,129,125,55,53,103,50,44,47,91,60,48
19:00,0,0,0,0,0,0,67,143,103,99,58,46,37,37,43,34,33,42,39,30
20:00,0,0,0,0,0,0,38,113,71,59,76,45,29,66,27,25,24,49,54,29
21:00,0,0,0,0,0,0,54,123,86,75,54,52,34,39,27,27,28,29,31,38
22:00,0,0,0,0,0,0,52,98,86,91,81,40,40,48,56,36,30,25,28,25
23:00,0,0,0,0,0,0,46,77,52,62,73,36,12,86,23,52,26,26,25,35
