Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,40,48,51,79,158,216,97,130,107,129,237,190,223,142,141,82,0,0,0,0
01:00,39,26,34,61,132,159,92,103,94,117,240,124,259,104,98,95,0,0,0,0
02:00,42,20,46,73,109,110,69,65,117,107,176,127,157,92,65,79,0,0,0,0
03:00,36,41,31,81,105,60,83,43,79,63,139,99,114,80,97,51,0,0,0,0
04:00,29,41,24,88,100,58,59,54,58,63,118,87,65,49,58,25,0,0,0,0
05:00,11,39,28,71,112,38,40,56,47,37,86,88,79,53,43,8,0,0,0,0
06:00,4,39,65,83,107,58,38,35,37,69,65,50,70,44,44,17,0,0,0,0
07:00,2,21,76,98,127,96,84,122,74,68,87,43,103,50,90,20,0,0,0,0
08:00,12,32,119,144,161,116,149,95,82,93,61,55,78,48,63,13,0,0,0,0
09:00,6,37,145,205,258,226,184,124,105,113,107,38,111,51,54,10,0,0,0,0
10:00,8,56,152,189,270,281,185,137,70,149,136,66,134,119,117,55,0,0,0,0
11:00,3,47,125,216,312,229,210,97,42,118,155,107,190,152,142,121,0,0,0,0
12:00,5,33,119,190,279,239,157,105,54,161,208,84,197,161,170,150,0,0,0,0
13:00,17,35,100,217,263,305,301,81,99,135,175,106,255,158,179,109,0,0,0,0
14:00,38,38,101,232,319,247,209,131,87,147,250,171,213,226,146,83,0,0,0,0
15:00,40,32,126,239,353,319,206,220,111,163,271,134,198,181,144,86,0,0,0,0
16:00,29,40,130,266,396,312,259,216,143,233,296,118,281,171,153,96,0,0,0,0
17:00,25,41,149,304,437,328,189,194,147,175,239,184,258,184,146,90,0,0,0,0
18:00,34,47,161,251,484,369,300,267,164,195,286,170,256,156,156,98,0,0,0,0
19:00,53,43,201,286,451,520,341,266,209,223,311,180,264,199,199,91,0,0,0,0
20:00,57,43,109,278,403,400,298,268,203,226,298,170,248,192,195,72,0,0,0,0
21:00,48,45,159,266,342,413,387,351,164,234,353,221,268,211,176,104,0,0,0,0
22:00,45,65,127,248,319,334,253,150,163,217,309,249,234,174,228,120,0,0,0,0
23:00,53,44,81,166,224,259,138,148,126,177,300,185,279,169,206,116,0,0,0,0
