Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,189,167,228,186,198,138,105,93,181,87,70,72,107,128,161,152,154,195,190,110
01:00,88,152,204,168,160,96,59,52,119,93,62,83,65,107,136,135,163,169,190,162
02:00,47,98,111,97,101,29,27,25,38,35,78,70,97,97,109,123,129,121,164,136
03:00,17,38,30,65,95,19,0,9,12,32,15,48,74,84,66,108,131,74,95,77
04:00,10,17,21,11,26,17,0,7,0,2,7,55,35,54,33,56,85,37,35,38
05:00,7,11,14,2,4,3,0,4,0,0,2,11,18,8,12,20,30,8,9,20
06:00,25,16,18,8,10,14,2,2,3,1,4,6,14,12,9,19,30,5,12,8
07:00,80,63,53,18,11,26,8,5,10,13,61,17,9,8,5,20,19,4,8,7
08:00,108,59,85,34,30,48,29,31,20,20,18,8,11,6,8,22,22,3,2,13
09:00,177,91,122,57,73,67,36,54,25,20,24,4,6,17,15,41,20,18,10,8
10:00,210,151,176,84,68,102,48,93,34,34,22,30,16,20,28,45,27,24,7,12
11:00,343,197,243,132,90,115,102,116,88,49,21,26,33,19,43,50,33,28,23,20
12:00,308,229,248,158,132,127,169,135,119,85,49,31,25,28,66,74,36,51,42,25
13:00,354,204,284,189,165,166,151,160,110,134,81,47,61,46,48,53,56,60,53,31
14:00,333,217,353,199,171,178,156,154,130,109,111,47,39,47,91,104,68,95,74,59
15:00,373,242,377,223,206,172,136,151,136,87,113,58,72,86,122,118,99,122,76,71
16:00,334,254,331,200,186,134,83,125,118,113,93,67,71,82,115,118,137,106,99,105
17:00,304,251,306,172,171,170,79,135,105,94,128,73,62,96,126,119,148,141,135,140
18:00,268,184,295,148,173,150,96,110,111,76,209,88,89,156,118,111,145,153,143,149
19:00,219,150,224,135,108,94,83,88,88,57,58,100,115,95,111,115,117,141,205,162
20:00,188,146,196,122,114,91,51,125,54,43,76,80,67,103,95,103,137,139,158,120
21:00,222,156,198,150,121,87,38,59,108,81,90,70,80,66,102,103,90,96,112,129
22:00,199,175,192,195,127,142,75,84,92,44,80,76,108,93,77,101,81,157,115,110
23:00,215,180,221,195,179,154,135,133,178,56,144,70,88,105,138,116,117,155,173,109
