Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,6.792058516196447,3.8901601830663615,3.353057199211045,1.8124999999999998,2.1425448185395717,1.4351614556637622,1.098901098901099,1.8101545253863136,1.163200563976031,1.7319963536918872,2.1638655462184873,1.8744421303183576,0.8290986894891682,1.539645881447267,2.4537037037037037,1.636266094420601,0,0,0,0
01:00,6.687565308254964,2.745995423340961,3.6817882971729126,1.375,2.0550940096195887,0.8713480266529985,0.591715976331361,0.9713024282560706,0.8107155445893549,1.1850501367365542,1.9747899159663864,1.7554299315679855,1.4442364268520995,1.558891454965358,2.1064814814814814,1.5289699570815452,0,0,0,0
02:00,5.015673981191222,2.212051868802441,2.564102564102564,2.3125,0.7870572802798426,0.6150691952844696,0.591715976331361,0.7947019867549668,0.9517095523440254,1.3369796414463688,1.449579831932773,0.9223445403153823,1.2837657127574218,1.058506543494996,0.9259259259259258,1.4216738197424892,0,0,0,0
03:00,2.089864158829676,2.593440122044241,0.9204470742932281,0.75,1.2243113248797552,1.1276268580215274,0.2958579881656805,0.5298013245033113,0.42298202326401124,2.187784867821331,1.449579831932773,0.9818506396905683,0.5883926183471516,0.7890685142417244,0.6481481481481481,2.0118025751072963,0,0,0,0
04:00,0.6269592476489028,0.6102212051868803,0.19723865877712032,0.3125,0.6121556624398776,0.8713480266529985,0.3803888419273035,0.7064017660044151,0.3524850193866761,2.157398966879368,2.773109243697479,1.309134186254091,1.684942497994116,1.924557351809084,1.1805555555555556,2.2532188841201717,0,0,0,0
05:00,0.20898641588296762,0.15255530129672007,0.5259697567389875,0.25,0.7870572802798426,0.5125576627370578,0.9298393913778529,0.4856512141280353,0.5639760310186817,2.5220297781829233,2.6050420168067228,1.2793811365664982,1.9791388071676919,2.424942263279446,2.060185185185185,2.896995708154506,0,0,0,0
06:00,0.0,0.07627765064836003,0.39447731755424065,0.375,0.7870572802798426,0.35879036391594055,0.3803888419273035,0.44150110375275936,0.24673951357067325,3.1297477970221816,2.668067226890756,1.636417732817614,2.0058839261834716,2.174749807544265,2.1527777777777777,3.3530042918454934,0,0,0,0
07:00,0.10449320794148381,0.6102212051868803,0.19723865877712032,0.3125,0.7870572802798426,1.3326499231163504,1.9019442096365173,0.7064017660044151,0.45823052520267893,1.8231540565177755,1.7857142857142856,1.7554299315679855,1.7919229740572344,2.655889145496536,2.430555555555556,3.084763948497854,0,0,0,0
08:00,0.522466039707419,0.8390541571319604,0.46022353714661407,1.3125,3.0170529077393966,2.4602767811378783,2.4513947590870666,1.8101545253863136,2.0091646105040537,2.9778182923123673,3.3403361344537816,1.8744421303183576,1.9256485691361327,3.9453425712086223,3.587962962962963,4.828326180257511,0,0,0,0
09:00,1.044932079414838,1.6781083142639208,1.7094017094017095,2.375,3.585483165719283,4.664274730907227,4.480135249366018,2.7373068432671084,4.194571730701445,3.919781221513218,4.0966386554621845,2.707527521570961,2.6210216635464025,4.234026173979984,3.888888888888889,5.793991416309012,0,0,0,0
10:00,3.761755485893417,3.7376048817696415,5.062458908612754,4.8125,5.902929602098819,6.919528446950282,8.241758241758241,7.196467991169977,8.036658442016215,4.618656943178365,4.53781512605042,3.748884260636715,5.402514041187483,5.696689761354888,5.185185185185185,5.633047210300429,0,0,0,0
11:00,6.269592476489027,6.025934401220442,7.626561472715319,8.875,7.914298207258417,9.482316760635571,10.566356720202874,9.580573951434879,8.53013746915756,6.958371315709511,5.2521008403361344,6.4266587325200835,7.0339663011500395,6.562740569668976,7.222222222222221,7.00107296137339,0,0,0,0
12:00,7.41901776384535,7.475209763539283,8.349769888231426,8.25,8.0017490161784,9.277293695540749,9.847844463229078,7.858719646799117,8.671131476912231,7.809176542084472,6.680672268907563,8.122582564712882,8.264241775875902,8.545034642032332,8.472222222222223,8.798283261802576,0,0,0,0
13:00,6.792058516196447,5.339435545385203,6.0486522024983564,6.4375,5.115872321818977,6.919528446950282,5.621301775147929,5.783664459161148,5.604511808248149,6.259495594044363,6.3655462184873945,10.116036893781613,8.3979673709548,7.525019245573518,7.546296296296297,9.844420600858369,0,0,0,0
14:00,4.597701149425287,5.491990846681922,4.470742932281394,6.0,6.2964582422387405,6.714505381855458,8.960270498732037,9.13907284768212,8.212900951709551,5.773321178972957,5.189075630252101,5.861350788455817,5.054827493982348,5.50423402617398,5.532407407407407,4.989270386266095,0,0,0,0
15:00,6.792058516196447,9.382151029748284,10.91387245233399,8.0,8.35155225185833,8.764736032803691,10.946745562130179,11.52317880794702,11.3147691223123,4.649042844120328,4.516806722689076,5.59357334126748,4.894356779887671,6.100846805234796,7.337962962962963,5.5257510729613735,0,0,0,0
16:00,7.41901776384535,9.763539282990084,12.82051282051282,10.8125,10.406646261477919,10.251153254741158,9.932375316990703,10.860927152317881,12.054987663024322,7.079914919477362,8.193277310924369,7.49776852127343,7.836319871623429,7.948421862971516,8.726851851851853,6.3572961373390555,0,0,0,0
17:00,9.404388714733543,12.051868802440884,9.796186719263643,12.4375,11.193703541757761,10.763710917478218,8.960270498732037,8.741721854304636,10.645047585477617,8.751139471285324,8.907563025210084,10.026777744718833,10.617812249264508,8.083140877598153,8.032407407407408,6.276824034334765,0,0,0,0
18:00,8.463949843260188,10.068649885583524,9.401709401709402,8.375,8.482728465238305,5.689390056381343,4.564666103127641,7.0198675496688745,5.111032781106803,8.751139471285324,8.046218487394958,8.241594763463254,8.130516180797004,6.966897613548884,5.949074074074074,5.579399141630901,0,0,0,0
19:00,7.41901776384535,6.483600305110603,4.865220249835635,6.4375,3.8915609969392215,3.229113275243465,3.0008453085376163,3.443708609271523,2.9256256609094113,6.74567000911577,8.15126050420168,8.479619160963999,7.247927253276278,6.235565819861432,5.532407407407407,5.36480686695279,0,0,0,0
20:00,3.343782654127482,3.585049580472922,2.564102564102564,2.6875,2.229995627459554,1.9477191184008202,1.3947590870667794,1.8101545253863136,1.8329221008107157,4.345183834700699,5.084033613445378,4.403451353763761,4.6269055897298745,3.4064665127020786,3.1712962962962963,2.575107296137339,0,0,0,0
21:00,1.044932079414838,1.3729977116704806,0.19723865877712032,1.3125,1.4866637516397025,1.2813941568426448,1.3947590870667794,1.5894039735099337,1.9034191046880509,1.7016104527499238,2.2058823529411766,1.8446890806307645,1.9791388071676919,1.5204003079291764,2.037037037037037,0.9120171673819742,0,0,0,0
22:00,1.2539184952978055,0.9916094584286803,1.314924391847469,2.375,2.1862702229995628,1.9477191184008202,1.8174133558748946,2.207505518763797,1.973916108565386,2.0054694621695535,1.1134453781512605,1.8446890806307645,2.6210216635464025,1.9822940723633564,1.4814814814814816,0.6706008583690988,0,0,0,0
23:00,2.9258098223615465,2.822273073989321,2.564102564102564,2.0,2.7547004809794493,2.5627883136852896,1.6483516483516485,2.251655629139073,2.0091646105040537,1.5800668489820722,1.449579831932773,1.6959238321927996,1.7384327360256753,1.6166281755196306,2.337962962962963,1.6630901287553648,0,0,0,0
