Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,45.23809523809524,28.57142857142857,25.657894736842106,26.14942528735632,27.671232876712327,32.32876712328767,20.89887640449438,18.021978021978022,17.660044150110377,15.598290598290598,18.677685950413224,5.025996533795494,0,0,0,0
01:00,0,0,0,0,18.452380952380953,15.476190476190476,16.447368421052634,12.068965517241379,10.684931506849315,10.95890410958904,6.741573033707865,7.6923076923076925,8.167770419426049,8.333333333333332,6.9421487603305785,5.347858380787324,0,0,0,0
02:00,0,0,0,0,7.142857142857142,6.746031746031746,11.513157894736842,6.321839080459771,6.301369863013699,7.671232876712329,4.044943820224719,4.835164835164836,4.635761589403973,4.700854700854701,2.975206611570248,5.298341173557811,0,0,0,0
03:00,0,0,0,0,2.976190476190476,8.73015873015873,4.605263157894736,3.7356321839080464,3.8356164383561646,6.301369863013699,4.269662921348314,4.615384615384616,3.532008830022075,3.8461538461538463,4.132231404958678,4.134686803664273,0,0,0,0
04:00,0,0,0,0,0.5952380952380952,2.7777777777777777,4.276315789473684,3.7356321839080464,2.191780821917808,4.383561643835616,4.719101123595506,4.175824175824175,1.3245033112582782,3.418803418803419,2.975206611570248,4.134686803664273,0,0,0,0
05:00,0,0,0,0,0.5952380952380952,2.380952380952381,2.631578947368421,3.7356321839080464,4.657534246575342,4.10958904109589,3.8202247191011236,3.9560439560439558,2.4282560706401766,4.273504273504273,4.462809917355372,4.035652389205248,0,0,0,0
06:00,0,0,0,0,1.1904761904761905,3.1746031746031744,7.565789473684211,5.172413793103448,7.9452054794520555,3.287671232876712,4.719101123595506,4.395604395604396,3.3112582781456954,2.7777777777777777,4.297520661157025,5.05075513741025,0,0,0,0
07:00,0,0,0,0,4.166666666666666,5.158730158730158,2.9605263157894735,5.172413793103448,3.8356164383561646,4.383561643835616,4.269662921348314,4.175824175824175,2.4282560706401766,3.418803418803419,3.1404958677685952,5.125030948254518,0,0,0,0
08:00,0,0,0,0,2.976190476190476,2.7777777777777777,2.302631578947368,4.597701149425287,1.9178082191780823,3.5616438356164384,5.393258426966292,6.153846153846154,2.6490066225165565,6.837606837606838,7.933884297520661,5.966823471156227,0,0,0,0
09:00,0,0,0,0,3.571428571428571,5.158730158730158,3.618421052631579,4.310344827586207,5.47945205479452,6.027397260273973,6.292134831460674,7.472527472527473,7.505518763796909,7.264957264957266,5.785123966942149,7.03144342659074,0,0,0,0
