Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,3,6,10,2,8,6,7,0,1
01:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,4,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,2,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,0,1,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,1,4,2,2,5
07:00,0,0,0,0,0,0,0,0,0,0,0,3,4,6,8,3,22,10,6,19
08:00,0,0,0,0,0,0,0,0,0,0,0,20,42,28,18,16,22,29,13,15
09:00,0,0,0,0,0,0,0,0,0,0,0,89,116,94,107,80,72,68,28,39
10:00,0,0,0,0,0,0,0,0,0,0,0,124,132,127,116,111,135,114,46,66
11:00,0,0,0,0,0,0,0,0,0,0,3,73,94,116,115,133,110,77,43,51
12:00,0,0,0,0,0,0,0,0,0,0,0,95,76,115,95,110,98,75,69,74
13:00,0,0,0,0,0,0,0,0,0,0,0,107,121,146,146,142,102,92,54,69
14:00,0,0,0,0,0,0,0,0,0,0,0,69,95,100,121,108,145,101,58,79
15:00,0,0,0,0,0,0,0,0,0,0,0,128,121,181,160,135,131,114,54,73
16:00,0,0,0,0,0,0,0,0,0,0,0,187,234,233,270,251,176,121,62,86
17:00,0,0,0,0,0,0,0,0,0,0,0,114,80,110,91,179,151,94,61,64
18:00,0,0,0,0,0,0,0,0,0,0,1,52,46,51,48,55,75,95,42,30
19:00,0,0,0,0,0,0,0,0,0,0,0,39,42,46,36,42,51,62,31,49
20:00,0,0,0,0,0,0,0,0,0,0,0,41,34,48,29,13,53,51,27,57
21:00,0,0,0,0,0,0,0,0,0,0,0,22,34,28,30,27,37,49,42,46
22:00,0,0,0,0,0,0,0,0,0,0,0,26,21,15,28,30,46,47,20,32
23:00,0,0,0,0,0,0,0,0,0,0,0,6,12,16,25,22,13,23,11,31
