Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0.0,0.24834437086092717,0.45454545454545453,0.6784260515603799,0.13793103448275862,0.5423728813559322,0.4123711340206186,0.5663430420711975,0.0,0.1128668171557562
01:00,0,0,0,0,0,0,0,0,0,0,0.0,0.16556291390728478,0.0,0.0,0.0,0.2711864406779661,0.06872852233676977,0.3236245954692557,0.0,0.0
02:00,0,0,0,0,0,0,0,0,0,0,0.0,0.33112582781456956,0.0,0.06784260515603799,0.0,0.0,0.2061855670103093,0.16181229773462785,0.0,0.0
03:00,0,0,0,0,0,0,0,0,0,0,0.0,0.33112582781456956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.07575757575757576,0.0,0.0,0.06779661016949153,0.0,0.0,0.0,0.0
05:00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.07575757575757576,0.06784260515603799,0.13793103448275862,0.2711864406779661,0.13745704467353953,0.0,0.1492537313432836,0.0
06:00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6060606060606061,0.13568521031207598,0.20689655172413793,0.06779661016949153,0.27491408934707906,0.16181229773462785,0.2985074626865672,0.5643340857787811
07:00,0,0,0,0,0,0,0,0,0,0,0.0,0.24834437086092717,0.30303030303030304,0.40705563093622793,0.5517241379310345,0.2033898305084746,1.5120274914089347,0.8090614886731391,0.8955223880597015,2.144469525959368
08:00,0,0,0,0,0,0,0,0,0,0,0.0,1.6556291390728477,3.1818181818181817,1.8995929443690638,1.2413793103448276,1.0847457627118644,1.5120274914089347,2.3462783171521036,1.9402985074626864,1.6930022573363432
09:00,0,0,0,0,0,0,0,0,0,0,0.0,7.367549668874172,8.787878787878787,6.377204884667571,7.379310344827586,5.423728813559322,4.948453608247423,5.501618122977346,4.179104477611941,4.401805869074492
10:00,0,0,0,0,0,0,0,0,0,0,0.0,10.264900662251655,10.0,8.616010854816825,8.0,7.525423728813559,9.278350515463918,9.223300970873787,6.865671641791045,7.44920993227991
11:00,0,0,0,0,0,0,0,0,0,0,75.0,6.043046357615895,7.121212121212121,7.869742198100408,7.931034482758621,9.016949152542372,7.560137457044673,6.229773462783172,6.4179104477611935,5.756207674943567
12:00,0,0,0,0,0,0,0,0,0,0,0.0,7.864238410596027,5.757575757575758,7.80189959294437,6.551724137931035,7.457627118644068,6.7353951890034365,6.067961165048544,10.298507462686567,8.35214446952596
13:00,0,0,0,0,0,0,0,0,0,0,0.0,8.857615894039734,9.166666666666666,9.905020352781547,10.068965517241379,9.627118644067796,7.010309278350515,7.443365695792881,8.059701492537313,7.7878103837471775
14:00,0,0,0,0,0,0,0,0,0,0,0.0,5.711920529801325,7.196969696969697,6.7842605156037985,8.344827586206897,7.322033898305085,9.965635738831615,8.171521035598705,8.656716417910449,8.91647855530474
15:00,0,0,0,0,0,0,0,0,0,0,0.0,10.596026490066226,9.166666666666666,12.279511533242877,11.03448275862069,9.152542372881356,9.003436426116838,9.223300970873787,8.059701492537313,8.239277652370202
16:00,0,0,0,0,0,0,0,0,0,0,0.0,15.480132450331126,17.727272727272727,15.807327001356853,18.620689655172416,17.016949152542374,12.096219931271477,9.789644012944985,9.253731343283581,9.706546275395034
17:00,0,0,0,0,0,0,0,0,0,0,0.0,9.437086092715232,6.0606060606060606,7.462686567164178,6.275862068965517,12.135593220338983,10.378006872852234,7.605177993527508,9.104477611940299,7.223476297968396
18:00,0,0,0,0,0,0,0,0,0,0,25.0,4.304635761589404,3.4848484848484853,3.4599728629579376,3.310344827586207,3.728813559322034,5.154639175257731,7.605177993527508,6.26865671641791,3.3860045146726865
19:00,0,0,0,0,0,0,0,0,0,0,0.0,3.2284768211920527,3.1818181818181817,3.1207598371777476,2.4827586206896552,2.847457627118644,3.5051546391752577,5.016181229773463,4.626865671641791,5.530474040632054
20:00,0,0,0,0,0,0,0,0,0,0,0.0,3.3940397350993377,2.5757575757575757,3.2564450474898234,2.0,0.8813559322033898,3.6426116838487976,4.12621359223301,4.029850746268656,6.433408577878104
21:00,0,0,0,0,0,0,0,0,0,0,0.0,1.8211920529801324,2.5757575757575757,1.8995929443690638,2.0689655172413794,1.8305084745762712,2.542955326460481,3.9644012944983817,6.26865671641791,5.191873589164786
22:00,0,0,0,0,0,0,0,0,0,0,0.0,2.152317880794702,1.5909090909090908,1.01763907734057,1.9310344827586208,2.0338983050847457,3.161512027491409,3.802588996763754,2.9850746268656714,3.611738148984198
23:00,0,0,0,0,0,0,0,0,0,0,0.0,0.49668874172185434,0.9090909090909091,1.0854816824966078,1.7241379310344827,1.4915254237288136,0.8934707903780068,1.8608414239482203,1.6417910447761193,3.4988713318284423
