Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,9,8,24,30,30,17,37,73,38,0,0,0,0
01:00,0,0,0,0,0,0,0,0,4,17,27,7,12,29,43,23,0,0,0,0
02:00,0,0,0,0,0,0,0,0,1,14,11,2,1,18,19,14,0,0,0,0
03:00,0,0,0,0,0,0,0,0,1,5,15,3,1,4,15,5,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,10,10,1,1,5,6,10,0,0,0,0
05:00,0,0,0,0,0,0,0,2,1,6,6,1,2,5,3,4,0,0,0,0
06:00,0,0,0,0,0,0,0,1,17,15,23,7,3,2,11,5,0,0,0,0
07:00,0,0,0,0,0,0,0,3,16,22,36,15,8,24,38,12,0,0,0,0
08:00,0,0,0,0,0,0,0,12,35,39,36,22,12,57,59,19,0,0,0,0
09:00,0,0,0,0,0,0,0,43,64,59,72,49,23,33,41,30,0,0,0,0
10:00,0,0,0,0,0,0,0,33,83,73,119,63,19,53,36,37,0,0,0,0
11:00,0,0,0,0,0,0,0,35,90,92,105,61,33,46,43,51,0,0,0,0
12:00,0,0,0,0,0,0,0,31,59,77,95,63,20,39,46,35,0,0,0,0
13:00,0,0,0,0,0,0,0,33,80,65,98,74,23,49,39,53,0,0,0,0
14:00,0,0,0,0,0,0,0,39,110,88,115,62,21,33,46,107,0,0,0,0
15:00,0,0,0,0,0,0,0,35,110,97,126,60,27,46,36,46,0,0,0,0
16:00,0,0,0,0,0,0,0,56,106,99,124,63,34,55,58,32,0,0,0,0
17:00,0,0,0,0,0,0,0,70,107,92,109,54,45,34,46,39,0,0,0,0
18:00,0,0,0,0,0,0,0,22,64,70,86,48,44,29,49,51,0,0,0,0
19:00,0,0,0,0,0,0,0,26,55,65,88,62,32,39,48,47,0,0,0,0
20:00,0,0,0,0,0,0,0,14,72,71,79,73,55,60,58,41,0,0,0,0
21:00,0,0,0,0,0,0,0,33,79,77,90,77,46,60,48,46,0,0,0,0
22:00,0,0,0,0,0,0,0,27,40,75,67,52,49,53,70,62,0,0,0,0
23:00,0,0,0,0,0,0,0,27,20,41,43,52,33,50,67,56,0,0,0,0
