Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,6,6,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,43,13,6
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,93,42,12
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,12,74,36,19
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,22,27,59,65,26
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49,15,21,61,55,44
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,59,29,40,33,49,24
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,23,36,51,25,28
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,25,30,59,19,27
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32,54,35,25,46,36,30
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,41,58,41,42,45,23,28
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,44,40,35,268,222,187
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,24,28,28,34,22
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,15,15,22,27,13
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,15,9,22,10,3
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,7,15,22,14,16
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,6,7,22,11,8
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,11,13,4,2
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,5,2,0
