Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,1,43,47,39,74,58,63,38,127,62,49
01:00,0,0,0,0,0,0,0,1,0,2,12,37,79,30,16,13,18,69,35,56
02:00,0,0,0,0,0,0,0,0,0,4,14,42,24,23,15,7,14,48,19,12
03:00,0,0,0,0,0,0,0,0,0,0,9,37,14,12,9,4,25,48,8,13
04:00,0,0,0,0,0,0,0,0,0,6,11,60,33,19,28,6,43,20,6,23
05:00,0,0,0,0,0,0,0,0,0,3,13,56,29,35,26,5,55,30,13,11
06:00,0,0,0,0,0,0,0,0,0,8,26,32,22,28,40,39,66,31,40,59
07:00,0,0,0,0,0,0,0,0,0,34,43,50,40,60,35,42,71,264,76,90
08:00,0,0,0,0,0,0,0,0,0,32,105,93,98,97,150,128,180,149,179,218
09:00,0,0,0,0,0,0,0,0,0,110,473,200,217,206,167,187,244,196,352,318
10:00,0,0,0,0,0,0,0,0,0,69,207,233,210,220,257,291,339,250,316,403
11:00,0,0,0,0,0,0,0,0,0,61,229,338,221,271,284,240,405,268,345,478
12:00,0,0,0,0,0,0,1,0,0,54,166,207,210,227,238,241,213,285,256,295
13:00,0,0,0,0,0,0,0,1,0,48,202,232,152,218,240,253,317,258,300,327
14:00,0,0,0,0,0,0,0,1,0,115,232,309,215,266,242,232,361,272,289,302
15:00,0,0,0,0,0,0,0,0,0,60,209,286,262,288,217,269,373,252,297,243
16:00,0,0,0,0,0,0,0,2,0,59,187,272,328,226,256,306,344,265,315,257
17:00,0,0,0,0,0,0,0,0,1,36,148,241,170,179,168,228,311,227,184,205
18:00,0,0,0,0,0,0,0,0,0,22,109,131,71,144,130,152,183,146,123,110
19:00,0,0,0,0,0,0,0,0,1,33,122,100,88,108,80,80,119,109,116,85
20:00,0,0,0,0,0,0,0,0,0,36,90,86,82,132,102,89,149,135,95,119
21:00,0,0,0,0,0,0,0,0,0,121,81,83,118,150,90,83,139,122,95,112
22:00,0,0,0,0,0,0,0,0,0,16,84,87,94,147,97,90,94,189,139,121
23:00,0,0,0,0,0,0,0,0,0,7,62,70,62,81,102,79,80,126,84,77
