Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,18,24,35,87,35,37,45,57,54,63,16,30,23,21,30
01:00,0,0,0,0,0,3,7,26,39,17,32,23,28,28,57,12,23,12,8,21
02:00,0,0,0,0,0,4,15,11,17,8,14,20,8,20,32,10,8,8,6,13
03:00,0,0,0,0,0,9,13,14,16,3,17,14,7,13,15,3,6,2,4,6
04:00,0,0,0,0,0,7,13,6,12,2,1,17,5,13,13,2,4,3,4,0
05:00,0,0,0,0,0,2,10,10,18,7,15,17,14,20,9,1,16,8,5,1
06:00,0,0,0,0,0,17,13,7,25,25,13,18,7,22,26,1,11,39,7,5
07:00,0,0,0,0,0,33,49,22,36,23,29,28,11,30,13,9,14,61,8,12
08:00,0,0,0,0,0,48,19,32,52,47,50,33,38,71,31,24,26,89,41,33
09:00,0,0,0,0,0,35,41,46,152,88,75,55,64,104,60,50,72,162,74,87
10:00,0,0,0,0,0,40,35,59,137,107,102,108,81,129,71,63,134,141,240,82
11:00,0,0,0,0,3,31,38,93,177,118,110,69,87,137,67,114,97,120,107,67
12:00,0,0,0,0,0,22,50,64,137,121,117,92,93,102,68,57,85,67,63,56
13:00,0,0,0,1,0,28,31,69,160,82,121,85,72,104,121,68,80,85,81,99
14:00,0,0,0,0,0,25,29,77,170,149,141,98,84,154,79,78,111,113,76,105
15:00,0,0,0,0,0,29,33,60,192,124,119,103,99,166,89,99,114,111,71,57
16:00,0,0,0,0,0,38,34,60,161,138,120,107,121,144,114,66,98,97,104,89
17:00,0,0,0,1,0,29,26,27,113,81,98,98,126,195,90,71,119,83,85,66
18:00,0,0,0,0,0,25,21,29,105,94,56,36,47,91,86,43,49,84,63,79
19:00,0,0,0,0,0,25,35,32,102,78,32,35,32,59,48,26,48,92,59,42
20:00,0,0,0,0,0,23,30,63,146,89,54,65,35,73,56,25,37,50,37,40
21:00,0,0,1,0,0,29,24,70,131,70,64,69,63,60,58,28,35,53,34,35
22:00,0,0,0,0,0,23,48,47,132,50,73,117,55,75,76,36,49,38,32,30
23:00,0,0,0,0,0,20,25,48,83,48,68,74,65,71,62,15,46,32,26,36
