Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,10,7,4,8,10,13,12,29,23
01:00,0,0,0,0,0,0,0,0,0,0,0,5,0,32,4,3,6,5,20,9
02:00,0,0,0,0,0,0,0,0,0,0,0,1,1,14,1,2,8,3,11,9
03:00,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,5,9,0
04:00,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,2,1,1,9,1
05:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,15,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,15,3
07:00,0,0,0,0,0,0,0,0,0,0,0,3,6,13,5,7,5,6,11,1
08:00,0,0,0,0,0,0,0,0,0,0,0,1,13,20,7,10,6,9,13,4
09:00,0,0,0,0,0,0,0,0,0,0,0,15,12,20,13,11,26,24,13,5
10:00,0,0,0,0,0,0,0,0,0,0,0,46,36,28,27,46,43,49,42,27
11:00,0,0,0,0,0,0,0,0,0,0,0,41,44,36,35,59,29,44,46,19
12:00,0,0,0,0,0,0,0,0,0,0,0,51,56,35,25,35,27,58,50,32
13:00,0,0,0,0,0,0,0,0,0,0,0,70,69,36,35,30,43,23,39,37
14:00,0,0,0,0,0,0,0,0,0,0,0,52,60,33,20,35,58,26,35,27
15:00,0,0,0,0,0,0,0,0,0,0,0,63,58,35,24,36,52,25,41,24
16:00,0,0,0,0,0,0,0,0,0,0,0,57,63,46,36,30,53,41,48,29
17:00,0,0,0,0,0,0,0,0,0,0,1,41,72,35,32,39,38,41,49,33
18:00,0,0,0,0,0,0,0,0,0,0,0,43,26,19,43,29,22,34,29,25
19:00,0,0,0,0,0,0,0,0,0,0,0,8,14,24,12,39,17,19,21,15
20:00,0,0,0,0,0,0,0,0,0,0,0,32,23,33,15,30,37,23,45,47
21:00,0,0,0,0,0,0,0,0,0,0,0,38,31,31,32,47,39,28,64,45
22:00,0,0,0,0,0,0,0,0,0,0,0,24,24,20,17,39,20,34,37,47
23:00,0,0,0,0,0,0,0,0,0,0,0,11,12,28,21,16,15,13,37,15
