Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,63,127,42,98,103,65,110,195,134,138,100,47,115,14,26,27,60,13,30,8
01:00,45,127,26,94,84,48,107,166,112,95,74,34,34,23,33,43,55,4,5,1
02:00,43,85,31,99,109,39,85,92,53,46,31,36,36,18,29,39,46,4,10,9
03:00,31,56,37,80,86,49,44,55,34,20,15,14,17,20,22,23,31,17,15,20
04:00,9,38,30,64,84,22,25,37,20,8,3,12,6,14,1,8,24,57,72,32
05:00,5,11,21,39,19,10,6,4,22,0,0,5,4,5,2,4,9,152,152,80
06:00,6,9,25,15,12,11,18,7,7,1,1,7,0,1,5,7,17,177,207,110
07:00,1,11,6,9,22,32,29,21,8,14,26,21,7,10,16,47,30,154,221,130
08:00,17,21,5,17,29,47,58,64,60,12,47,22,22,9,32,66,117,138,196,107
09:00,31,33,33,33,63,86,104,168,90,72,103,121,80,36,75,153,212,179,233,95
10:00,59,58,41,53,82,78,133,162,131,121,163,135,142,87,92,172,273,208,242,127
11:00,32,67,57,67,102,125,157,193,142,171,207,185,163,80,98,169,272,212,235,101
12:00,29,59,51,64,84,131,131,204,140,141,162,147,127,86,74,157,197,196,201,101
13:00,67,69,63,85,92,102,179,176,152,137,140,144,144,64,79,125,260,129,164,52
14:00,64,74,58,84,118,151,232,254,145,170,190,197,152,62,79,149,236,111,117,39
15:00,84,88,55,91,144,221,188,262,151,198,218,180,165,96,75,220,234,127,93,58
16:00,70,78,65,125,107,193,208,273,218,187,243,227,191,85,105,218,224,91,102,59
17:00,50,114,58,118,120,172,211,291,169,133,229,218,173,108,118,208,178,93,132,51
18:00,36,56,29,125,100,124,192,249,103,108,147,128,143,74,99,157,111,76,117,50
19:00,28,113,47,71,82,147,136,197,86,43,121,89,89,61,88,87,94,59,78,52
20:00,13,84,54,91,79,90,100,141,97,47,85,117,121,29,56,84,117,37,64,26
21:00,24,76,45,84,64,79,115,161,95,71,79,121,142,34,61,83,117,34,39,11
22:00,21,89,45,55,97,76,134,125,147,117,81,70,121,36,62,89,141,16,38,18
23:00,28,96,39,91,104,64,145,135,88,171,116,81,109,34,53,55,83,32,64,21
