Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,35,175,174,162,212,145,193,174,161,94,156
01:00,0,0,0,0,0,0,0,0,0,31,154,167,153,179,93,178,157,100,56,84
02:00,0,0,0,0,0,0,0,0,0,26,140,139,109,149,73,87,88,44,26,65
03:00,0,0,0,0,0,0,0,0,0,13,79,90,86,102,56,67,41,26,16,61
04:00,0,0,0,0,0,0,0,0,0,17,56,54,62,62,25,38,22,18,10,41
05:00,0,0,0,0,0,0,0,0,0,19,45,53,60,56,29,29,17,18,4,36
06:00,0,0,0,0,0,0,0,0,0,5,35,53,52,33,53,56,14,19,16,20
07:00,0,0,0,0,0,0,0,0,0,15,59,49,51,62,145,75,58,59,55,91
08:00,0,0,0,0,0,0,0,0,0,11,81,58,45,57,338,192,171,184,194,242
09:00,0,0,0,0,0,0,0,0,0,20,154,121,111,136,391,289,276,327,386,454
10:00,0,0,0,0,0,0,0,0,0,25,222,164,191,319,655,520,643,500,648,686
11:00,0,0,0,0,0,0,0,0,0,23,286,256,265,387,851,662,802,759,753,960
12:00,0,0,0,0,0,0,0,0,0,29,347,367,313,539,937,682,905,740,857,933
13:00,0,0,0,0,0,0,0,0,0,40,371,276,235,306,609,546,689,659,698,828
14:00,0,0,0,0,0,0,0,0,0,39,463,367,327,498,875,733,802,698,772,950
15:00,0,0,0,0,0,0,0,0,0,63,498,438,341,614,965,792,1042,969,852,1135
16:00,0,0,0,0,0,0,0,0,0,46,474,384,349,665,1002,810,1079,851,881,1005
17:00,0,0,0,0,0,0,0,0,0,64,379,368,279,504,866,668,914,812,765,881
18:00,0,0,0,0,0,0,0,0,0,44,345,364,235,348,697,485,706,537,517,641
19:00,0,0,0,0,0,0,0,0,0,41,317,309,168,246,557,442,431,342,364,435
20:00,0,0,0,0,0,0,0,0,0,36,317,273,182,234,401,342,352,288,330,390
21:00,0,0,0,0,0,0,0,0,0,41,241,290,172,232,272,216,354,280,304,327
22:00,0,0,0,0,0,0,0,0,0,42,244,254,161,214,314,249,284,278,264,274
23:00,0,0,0,0,0,0,0,0,0,37,211,215,158,180,233,238,233,225,206,235
