Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,50,215,198,231,244,228,240,201,211,369,249,366,347
01:00,0,0,0,0,0,0,0,50,152,135,230,137,160,240,193,208,280,261,301,406
02:00,0,0,0,0,0,0,0,24,108,140,111,144,176,168,123,157,247,204,194,327
03:00,0,0,0,0,0,0,0,12,63,78,61,101,67,61,45,138,202,103,91,181
04:00,0,0,0,0,0,0,0,6,35,51,84,39,22,33,12,59,122,83,96,91
05:00,0,0,0,0,0,0,0,4,37,62,57,56,25,23,15,51,79,58,52,36
06:00,0,0,0,0,0,0,0,4,36,48,94,118,65,76,40,48,60,71,72,42
07:00,0,0,0,0,0,0,0,7,58,76,56,61,71,57,34,54,57,98,54,46
08:00,0,0,0,0,0,0,0,19,128,82,58,82,72,68,116,143,142,204,142,163
09:00,0,0,0,0,0,0,0,39,265,228,211,163,148,241,361,416,342,474,416,316
10:00,0,0,0,0,0,0,0,52,243,321,232,359,330,506,567,542,421,638,732,542
11:00,0,0,0,0,0,0,0,46,291,348,354,457,453,575,739,686,604,884,976,705
12:00,0,0,0,0,0,0,0,54,243,373,323,387,430,554,739,749,752,878,796,724
13:00,0,0,0,0,0,0,0,45,240,301,249,314,370,414,516,830,697,817,645,632
14:00,0,0,0,0,0,0,0,64,263,351,320,315,425,438,605,748,886,847,867,750
15:00,0,0,0,0,0,0,0,68,270,498,399,444,429,466,616,756,838,982,876,794
16:00,0,0,0,0,0,0,0,47,274,405,328,413,387,438,559,790,673,929,839,681
17:00,0,0,0,0,0,0,0,75,296,401,385,387,405,379,649,606,652,836,727,527
18:00,0,0,0,0,0,0,0,80,269,311,253,393,380,336,513,671,679,705,605,606
19:00,0,0,0,0,0,0,0,46,211,228,272,328,360,325,448,591,727,715,622,550
20:00,0,0,0,0,0,0,0,38,222,189,280,375,329,306,426,494,470,556,457,539
21:00,0,0,0,0,0,0,0,25,140,216,234,318,222,285,297,357,471,516,413,559
22:00,0,0,0,0,0,0,0,32,160,170,156,231,199,163,243,318,487,537,483,390
23:00,0,0,0,0,0,0,0,63,186,194,249,263,208,171,310,319,398,371,282,434
