Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,5.263157894736842,4.880817253121453,3.663952627683198,4.419361010139659,3.9810735845978136,3.824861600402617,3.65686423891513,2.4022947292936534,2.1223093944880302,3.4631628343500704,2.072237017310253,3.2961095100864557,3.3403927608779362
01:00,0,0,0,0,0,0,0,5.263157894736842,3.4506242905788875,2.4981495188749077,4.400229577195332,2.235274922499592,2.68411340379131,3.65686423891513,2.306681008724752,2.092134379400523,2.627874237447208,2.172103861517976,2.710734870317003,3.908355795148248
02:00,0,0,0,0,0,0,0,2.526315789473684,2.4517593643586832,2.5906735751295336,2.123589056820356,2.3494860499265786,2.952524744170441,2.5598049672405914,1.4700609537468627,1.579159122912895,2.318160488033787,1.6977363515312915,1.7471181556195967,3.1478629187524065
03:00,0,0,0,0,0,0,0,1.263157894736842,1.4301929625425651,1.4433752775721687,1.1670174096039792,1.6479034100179475,1.1239724878376112,0.9294529940575956,0.5378271782000718,1.388050694025347,1.8958235570154858,0.8571904127829562,0.8195244956772334,1.7423950712360414
04:00,0,0,0,0,0,0,0,0.631578947368421,0.7945516458569807,0.9437453737971873,1.6070403673235125,0.6363191385217817,0.36906559302130515,0.5028188328508304,0.14342058085335246,0.5934419633876483,1.1450023463162835,0.690745672436751,0.8645533141210375,0.8760107816711591
05:00,0,0,0,0,0,0,0,0.42105263157894735,0.8399545970488081,1.147298297557365,1.0904916778266693,0.9136890194158916,0.4193927193423922,0.3504494895627,0.17927572606669057,0.5129752564876282,0.7414359455654622,0.48268974700399464,0.46829971181556196,0.346553715825953
06:00,0,0,0,0,0,0,0,0.42105263157894735,0.8172531214528945,0.8882309400444115,1.798354696766788,1.9252732909120576,1.0904210702902197,1.1580070089897914,0.47806860284450814,0.48280024140012073,0.5631159080244017,0.5908788282290279,0.6484149855907781,0.40431266846361186
07:00,0,0,0,0,0,0,0,0.7368421052631579,1.3166855845629966,1.4063656550703183,1.0713602448823416,0.9952683961494534,1.191075322932394,0.8685052567423435,0.40635831241783194,0.5431502715751357,0.5349601126231815,0.8155792276964048,0.4863112391930836,0.44281863688871775
08:00,0,0,0,0,0,0,0,2.0,2.905788876276958,1.5173945225758698,1.1096231107709968,1.3379017784304128,1.2078510317060895,1.0361115343592868,1.3863989482490737,1.4383423858378597,1.3327076489910838,1.6977363515312915,1.2788184438040346,1.569118213323065
09:00,0,0,0,0,0,0,0,4.105263157894737,6.015891032917139,4.219096965210955,4.036732351253109,2.659487681514113,2.482804898506962,3.6721011732439433,4.314569140671686,4.184268758801046,3.2097606757390893,3.9447403462050596,3.7463976945244957,3.041971505583365
10:00,0,0,0,0,0,0,0,5.473684210526316,5.516458569807037,5.940044411547002,4.438492443083987,5.857399249469735,5.5359838953195775,7.7098887703794,6.776622445320904,5.451619392476363,3.951196621304552,5.3095872170439415,6.592219020172911,5.217558721601848
11:00,0,0,0,0,0,0,0,4.842105263157895,6.606129398410896,6.439674315321983,6.772527262291946,7.456355033447544,7.5993960744841464,8.7612372390675,8.832317437552287,6.900020116676725,5.668700140778977,7.356857523302264,8.789625360230549,6.786676934924913
12:00,0,0,0,0,0,0,0,5.684210526315789,5.516458569807037,6.902294596595114,6.179452841017792,6.31424375917768,7.213554772689146,8.441261618162425,8.832317437552287,7.533695433514384,7.057719380572501,7.306924101198402,7.168587896253602,6.969580284944166
