Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,1,9,2,10,16,5,3,3,2,4,5,8,17
01:00,0,0,0,0,0,0,0,0,4,0,2,1,0,5,1,0,0,7,4,2
02:00,0,0,0,0,0,0,0,0,1,1,1,2,2,3,1,1,1,1,1,0
03:00,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0
04:00,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,0,2,0
05:00,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0
06:00,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,5,2,2,0,7
07:00,0,0,0,0,0,0,0,1,2,1,4,3,4,6,4,4,3,8,10,16
08:00,0,0,0,0,0,0,0,1,10,7,17,12,6,9,6,20,21,5,16,13
09:00,0,0,0,0,0,0,0,9,31,25,24,14,14,19,29,32,28,17,22,26
10:00,0,0,0,0,0,0,0,10,32,49,53,34,37,27,34,49,29,32,24,36
11:00,0,0,0,0,0,0,0,28,60,69,33,26,37,32,43,57,29,36,32,33
12:00,0,0,0,0,0,0,0,7,39,47,42,26,37,31,38,22,28,24,27,33
13:00,0,0,0,0,0,0,0,12,43,61,45,26,39,28,31,40,25,37,37,35
14:00,0,0,0,0,0,0,0,14,43,50,42,25,34,46,63,45,36,43,23,40
15:00,0,0,0,0,0,0,0,20,59,71,38,28,37,39,43,43,32,28,20,29
16:00,0,0,0,0,0,0,0,14,52,56,39,43,33,36,50,36,32,27,22,26
17:00,0,0,0,0,0,0,0,5,21,28,20,24,21,27,36,30,26,34,17,27
18:00,0,0,0,0,0,0,0,0,19,11,14,21,28,29,26,16,22,21,17,26
19:00,0,0,0,0,0,0,0,0,12,7,28,18,12,30,31,14,19,16,22,22
20:00,0,0,0,0,0,0,0,4,8,7,10,16,45,18,19,12,16,20,13,14
21:00,0,0,0,0,0,0,0,3,14,8,13,19,26,28,29,10,24,13,11,13
22:00,0,0,0,0,0,0,0,0,12,13,15,23,11,14,18,18,10,9,15,15
23:00,0,0,0,0,0,0,0,1,13,9,7,14,14,19,9,9,6,10,18,19
