Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,4,13,10,54,39,20,14,18,28,15,9,10,7
01:00,0,0,0,0,0,0,0,0,6,3,20,16,20,10,5,6,14,6,2,2
02:00,0,0,0,0,0,0,0,0,1,3,7,9,15,4,10,6,2,1,3,5
03:00,0,0,0,0,0,0,0,0,2,0,1,2,8,3,2,0,4,0,4,4
04:00,0,0,0,0,0,0,1,0,0,0,3,5,4,3,1,4,5,1,2,2
05:00,0,0,0,0,0,0,0,0,2,1,2,6,4,7,7,6,5,4,0,1
06:00,0,0,0,0,0,0,0,0,3,7,11,14,5,4,10,8,3,1,1,1
07:00,0,0,0,0,0,0,0,3,16,11,9,16,11,11,7,16,24,10,8,10
08:00,0,0,0,0,0,0,0,24,41,22,26,19,25,28,34,53,49,25,17,35
09:00,0,0,0,0,0,0,0,51,77,57,54,58,70,44,67,98,55,35,39,45
10:00,0,0,0,0,0,0,0,44,124,87,117,76,99,66,92,140,96,61,39,50
11:00,0,0,0,0,0,0,0,57,92,93,112,81,102,68,85,136,91,61,61,58
12:00,0,0,0,0,0,0,2,20,58,72,128,76,80,49,79,102,78,48,40,67
13:00,0,0,0,0,0,0,0,37,96,100,118,61,79,59,74,92,85,43,46,51
14:00,0,0,0,0,0,0,0,44,107,100,116,74,67,83,92,100,62,55,46,63
15:00,0,0,0,0,0,0,1,41,103,117,113,67,96,79,97,124,61,49,30,45
16:00,0,0,0,0,0,0,0,30,91,93,118,99,78,79,82,109,89,27,41,65
17:00,0,0,0,0,0,0,0,12,51,62,74,90,69,51,75,98,73,31,29,56
18:00,0,0,0,0,0,0,0,1,39,31,70,58,72,41,50,82,58,13,17,35
19:00,0,0,0,0,0,0,0,1,41,17,60,65,53,52,39,68,45,16,17,23
20:00,0,0,0,0,0,0,0,10,17,14,72,91,43,46,29,61,50,24,14,19
21:00,0,0,0,0,0,0,0,5,22,21,46,77,60,41,35,66,48,15,20,15
22:00,0,0,0,0,0,0,0,4,15,17,58,44,31,30,36,55,42,4,17,6
23:00,0,0,0,0,0,0,0,2,16,14,39,81,31,15,32,49,30,12,7,10
