Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,10,0,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1
07:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,4,7,9
08:00,0,0,0,0,0,0,0,0,0,0,0,0,47,41,6,14,28,80,89,117
09:00,0,0,0,0,0,0,0,0,0,0,0,0,113,138,91,105,96,150,194,153
10:00,0,0,0,0,0,0,0,0,0,0,0,0,142,137,134,153,144,179,226,158
11:00,0,0,0,0,0,0,0,0,0,0,0,0,133,139,188,146,179,187,251,174
12:00,0,0,0,0,0,0,0,0,0,0,0,0,116,102,69,102,66,83,120,91
13:00,0,0,0,0,0,0,0,0,0,0,0,0,88,85,66,77,151,110,227,139
14:00,0,0,0,0,0,0,0,0,0,0,0,0,92,77,111,133,150,168,204,183
15:00,0,0,0,0,0,0,0,0,0,0,0,0,116,100,124,146,126,127,216,135
16:00,0,0,0,0,0,0,0,0,0,0,0,0,120,94,112,111,89,106,150,121
17:00,0,0,0,0,0,0,0,0,0,0,0,0,79,78,69,52,56,76,81,64
18:00,0,0,0,0,0,0,0,0,0,0,0,0,62,64,35,28,42,39,32,25
19:00,0,0,0,0,0,0,0,0,0,0,0,0,35,25,10,10,26,13,19,49
20:00,0,0,0,0,0,0,0,0,0,0,0,0,19,6,3,11,29,25,33,58
21:00,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,8,17,27,35,39
22:00,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,8,8,8,28,17
23:00,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,7,1,5,3
