Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,5,14,9,11,23,27,38,22,11,33,15
01:00,0,0,0,0,0,0,0,0,0,12,14,7,9,12,11,15,12,4,12,2
02:00,0,0,0,0,0,0,0,0,0,8,3,5,1,2,12,7,1,3,4,1
03:00,0,0,0,0,0,0,0,0,0,6,4,0,0,0,2,1,0,0,3,2
04:00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1
05:00,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,7,0
06:00,0,0,0,0,0,0,0,0,0,3,0,0,2,1,1,0,1,1,1,5
07:00,0,0,0,0,0,0,0,0,0,5,3,1,3,1,6,5,4,3,3,15
08:00,0,0,0,0,0,0,0,0,0,8,8,7,9,1,19,20,16,14,32,34
09:00,0,0,0,0,0,0,0,0,0,12,12,13,16,17,24,39,32,43,49,27
10:00,0,0,0,0,0,0,0,0,0,12,22,40,39,41,38,52,40,42,57,39
11:00,0,0,0,0,0,0,0,0,0,24,39,38,62,87,43,80,71,25,59,54
12:00,0,0,0,0,0,0,0,0,0,30,60,54,50,86,45,73,65,32,59,29
13:00,0,0,0,0,0,0,0,0,0,19,29,61,38,70,66,80,63,43,48,41
14:00,0,0,0,0,0,0,0,0,0,13,29,61,47,55,68,72,55,54,40,38
15:00,0,0,0,0,0,0,0,0,0,19,30,46,34,53,71,85,50,27,64,60
16:00,0,0,0,0,0,0,0,0,0,17,42,58,38,65,65,76,90,37,69,53
17:00,0,0,0,0,0,0,0,0,0,12,35,46,53,70,83,68,38,23,50,47
18:00,0,0,0,0,0,0,0,0,0,13,32,60,40,67,65,70,51,32,39,36
19:00,0,0,0,0,0,0,0,0,0,10,48,37,49,59,58,76,69,40,72,48
20:00,0,0,0,0,0,0,0,0,0,9,68,50,59,76,45,59,83,51,42,47
21:00,0,0,0,0,0,0,0,0,0,19,60,42,28,54,55,60,56,30,29,49
22:00,0,0,0,0,0,0,0,0,0,24,52,48,30,48,40,57,49,58,51,47
23:00,0,0,0,0,0,0,0,0,0,15,36,22,16,22,27,54,28,49,49,26
