Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,50.0,8.3710407239819,8.049113233287859,6.462585034013606,4.066736183524505,5.19053876478318,4.0966386554621845,6.485771012574454
01:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3.8461538461538463,5.866302864938609,6.63265306122449,2.7111574556830034,4.336399474375821,6.197478991596639,5.162144275314361
02:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4.072398190045249,5.320600272851296,3.9115646258503403,2.2940563086548487,4.730617608409987,5.6722689075630255,4.500330906684315
03:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.904977375565611,3.2742155525238745,3.571428571428571,2.7111574556830034,4.467805519053877,5.6722689075630255,4.301786896095301
04:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,5.203619909502263,1.5006821282401093,4.421768707482993,3.3368091762252345,4.7963206307490145,4.569327731092437,4.367968232958306
05:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1.1312217194570136,5.0477489768076405,3.4013605442176873,3.023983315954119,6.83311432325887,6.092436974789916,5.360688285903375
06:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3.167420814479638,0.5457025920873124,4.081632653061225,3.1282586027111576,5.059132720105125,3.7289915966386555,5.162144275314361
07:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1.1312217194570136,3.4106412005457027,6.122448979591836,3.5453597497393115,5.059132720105125,3.9915966386554618,4.5665122435473195
08:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3.167420814479638,2.1828103683492497,3.231292517006803,3.3368091762252345,4.139290407358739,2.3109243697478994,3.9046988749172735
09:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2.7149321266968327,3.2742155525238745,3.741496598639456,4.066736183524505,2.628120893561104,2.5735294117647056,2.911978821972204
10:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,7.918552036199094,3.956343792633015,4.081632653061225,3.962460896767466,3.1537450722733245,2.5210084033613445,2.4487094639311717
11:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,1.1312217194570136,3.2742155525238745,3.061224489795918,5.526590198123045,3.2194480946123525,1.9432773109243697,2.911978821972204
12:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3.3936651583710407,4.229195088676671,4.081632653061225,5.735140771637122,3.679369250985545,2.3109243697478994,3.3752481800132363
13:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,5.88235294117647,5.729877216916781,3.741496598639456,5.005213764337852,3.416557161629435,2.5735294117647056,2.4487094639311717
14:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3.167420814479638,5.729877216916781,2.891156462585034,5.943691345151199,3.942181340341656,2.3634453781512605,3.507610853739246
15:00,0,0,0,0,0,0,0,100.0,100.0,0,0,0,0.0,3.167420814479638,3.819918144611187,2.5510204081632653,6.569343065693431,4.730617608409987,2.941176470588235,2.71343481138319
16:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,5.203619909502263,4.911323328785812,5.272108843537415,6.256517205422315,5.978975032851511,5.829831932773109,3.57379219060225
17:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2.0361990950226243,3.6834924965893587,4.081632653061225,4.066736183524505,5.059132720105125,4.989495798319328,4.8974189278623435
18:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4.97737556561086,2.592087312414734,4.421768707482993,5.005213764337852,3.4822601839684624,5.147058823529411,4.5665122435473195
19:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4.97737556561086,4.092769440654844,3.9115646258503403,3.3368091762252345,3.416557161629435,4.779411764705882,4.765056254136334
20:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,2.48868778280543,6.8212824010914055,4.591836734693878,3.441084462982273,3.088042049934297,5.147058823529411,4.169424222369292
21:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,50.0,6.108597285067873,5.866302864938609,3.571428571428571,5.213764337851929,3.088042049934297,4.779411764705882,4.500330906684315
22:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,4.97737556561086,3.819918144611187,4.081632653061225,3.1282586027111576,3.0223390275952693,5.304621848739496,4.831237590999338
23:00,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,10.85972850678733,3.0013642564802185,4.081632653061225,4.588112617309697,3.4822601839684624,4.464285714285714,4.5665122435473195
