Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,1,17,20,24,17,14,19,12,9
01:00,0,0,0,0,0,0,0,0,0,0,0,0,2,12,18,6,10,4,5,7
02:00,0,0,0,0,0,0,0,0,0,0,0,2,5,9,8,7,2,1,1,7
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,1,2,1,2,3
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,5,7,1,3,1
05:00,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2,1,1,2,1
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,1,1,3,2
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,4,2,2,4,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,2,11,33,18,7,1,18,18
09:00,0,0,0,0,0,0,0,0,0,0,0,0,2,26,71,44,12,5,54,63
10:00,0,0,0,0,0,0,0,0,0,0,0,15,46,85,90,86,42,30,93,91
11:00,0,0,0,0,0,0,0,0,0,0,0,25,90,81,129,96,84,65,91,109
12:00,0,0,0,0,0,0,0,0,0,0,0,16,60,121,158,111,81,44,102,81
13:00,0,0,0,0,0,0,0,0,0,0,0,15,30,109,138,146,85,70,85,80
14:00,0,0,0,0,0,0,0,0,0,0,0,24,72,104,153,157,84,40,96,81
15:00,0,0,0,0,0,0,0,0,0,0,0,15,32,130,173,120,69,35,71,63
16:00,0,0,0,0,0,0,0,0,0,0,0,15,46,145,157,156,86,57,93,70
17:00,0,0,0,0,0,0,0,0,0,0,0,43,32,112,134,110,66,52,116,94
18:00,0,0,0,0,0,0,0,0,0,0,0,7,18,92,101,70,87,58,69,84
19:00,0,0,0,0,0,0,0,0,0,0,0,2,16,30,47,51,36,31,21,33
20:00,0,0,0,0,0,0,0,0,0,0,0,5,3,27,52,29,16,17,18,23
21:00,0,0,0,0,0,0,0,0,0,0,0,1,7,38,35,15,31,40,18,51
22:00,0,0,0,0,0,0,0,0,0,0,0,1,11,19,55,33,38,34,40,49
23:00,0,0,0,0,0,0,0,0,0,0,0,6,3,15,37,36,35,19,30,122
