Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,47,15,5,21
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,81,62,6,2,15
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,33,12,5,15
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,19,7,6,8
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,11,10,5,8
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,7,10,10
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,15,14,9,6
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,33,36,18,12
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,67,57,63,24,19
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,87,64,54,20
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,107,86,73,45,44
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,85,98,80,49,62
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,129,107,82,56,74
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,99,104,74,52,73
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,112,102,101,62,76
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,110,106,110,73,88
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,126,120,123,53,75
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,108,142,81,52,57
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,84,122,53,40,50
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,70,113,36,32,65
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,79,83,23,19,47
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,79,38,39,34
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,56,28,31,43
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,73,49,19,11,20
