Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,3,13,6,4,15,3,2,0,1,1,6,5,5,7,9,10,31,8
01:00,0,0,0,8,0,0,8,0,1,0,1,0,2,2,4,3,3,11,24,15
02:00,0,0,0,0,0,0,6,0,0,0,1,0,1,2,2,4,3,8,29,1
03:00,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,0,2,6,38,7
04:00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,6,7,43,9
05:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,6,4,19,10
06:00,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,5,3,11,7
07:00,0,0,0,1,2,0,0,1,0,0,0,0,4,3,7,5,3,54,9,9
08:00,0,0,0,4,5,4,2,0,3,0,5,5,1,4,20,5,2,37,25,21
09:00,0,0,0,7,5,12,18,19,14,7,4,10,9,14,48,22,25,61,59,38
10:00,0,0,0,26,6,17,47,17,11,7,4,19,58,100,80,50,108,133,125,116
11:00,0,0,4,28,7,21,58,15,12,10,5,66,128,142,125,103,143,156,246,125
12:00,0,0,2,14,13,15,43,17,8,7,4,77,91,161,151,82,130,156,183,133
13:00,0,0,2,15,15,14,43,15,8,1,4,74,114,117,107,120,118,185,180,150
14:00,0,0,1,27,7,11,40,14,3,3,4,47,63,81,82,73,77,84,116,75
15:00,0,0,3,22,8,12,49,12,6,4,3,59,71,86,78,60,86,108,148,71
16:00,0,0,2,34,2,8,28,15,7,10,5,63,128,132,141,132,132,123,198,115
17:00,0,0,2,26,9,10,32,8,1,2,0,73,149,138,109,107,133,106,147,110
18:00,0,0,2,26,8,11,32,10,7,0,1,47,103,133,121,83,69,63,93,69
19:00,0,0,1,12,7,13,25,8,6,0,0,61,73,48,43,32,27,20,22,17
20:00,0,0,0,13,15,9,13,8,4,3,0,20,45,12,10,6,1,4,9,9
21:00,0,0,0,13,9,5,14,3,3,0,0,6,35,8,9,7,7,3,9,5
22:00,0,0,0,14,6,16,10,5,3,0,3,15,17,6,11,1,3,12,32,15
23:00,0,0,0,8,10,9,10,3,0,1,2,2,8,6,6,7,11,11,27,15
