Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,10,36,27,22,22,2,3,4,2,2,1,4,1,0,3
01:00,0,0,0,0,0,9,24,7,9,10,6,2,3,4,0,1,0,2,0,1
02:00,0,0,0,0,0,2,12,3,3,4,2,0,2,0,1,0,0,1,0,1
03:00,0,0,0,0,0,1,4,3,2,5,0,1,0,2,0,2,0,0,0,1
04:00,0,0,0,0,0,1,4,1,1,1,0,0,0,0,0,0,0,2,1,0
05:00,0,0,0,0,0,3,4,0,0,10,1,2,0,0,0,0,0,1,0,1
06:00,0,0,0,0,0,2,10,6,6,13,5,4,2,1,0,1,0,1,4,1
07:00,0,0,0,0,0,10,21,20,29,67,15,16,4,8,4,5,11,8,7,9
08:00,0,0,0,0,0,28,29,19,75,108,35,37,7,24,19,18,18,10,11,7
09:00,0,0,0,0,0,20,67,65,77,153,23,24,19,31,29,31,15,19,9,19
10:00,0,0,0,0,0,31,66,73,92,145,17,24,27,24,32,12,8,15,19,22
11:00,0,0,0,0,0,47,85,91,105,122,42,31,26,29,33,22,24,19,15,15
12:00,0,0,0,0,0,60,88,73,91,90,47,41,23,32,28,27,29,16,17,18
13:00,0,0,0,0,0,27,98,85,119,90,25,17,21,27,18,10,10,15,9,14
14:00,0,0,0,0,0,30,99,75,94,110,36,28,23,21,20,9,20,23,10,13
15:00,0,0,0,0,0,54,60,73,82,95,37,27,27,23,19,22,9,16,17,14
16:00,0,0,0,0,1,52,86,61,80,88,38,35,27,19,20,11,11,15,9,16
17:00,0,0,0,0,1,31,80,78,76,104,25,31,22,20,37,11,18,21,13,14
18:00,0,0,0,0,0,35,69,53,66,73,29,27,27,24,28,18,14,11,22,9
19:00,0,0,0,0,0,25,58,59,56,61,37,22,25,18,7,6,7,10,3,5
20:00,0,0,0,0,0,41,49,33,43,57,16,13,12,10,3,8,2,5,3,6
21:00,0,0,0,0,0,31,57,57,41,54,13,13,19,9,8,10,1,5,3,8
22:00,0,0,0,0,0,45,39,39,37,50,8,17,14,5,8,7,3,5,3,7
23:00,0,0,0,0,0,16,48,32,29,41,7,3,6,1,5,3,1,1,0,3
