Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,52,138,94,173,78,107,73,126,83,158,93,87,50,63,75
01:00,0,0,0,0,0,35,49,80,102,59,80,52,88,92,146,63,48,29,40,68
02:00,0,0,0,0,0,16,57,40,63,31,52,26,46,66,135,40,37,23,16,49
03:00,0,0,0,0,0,16,10,17,31,14,31,17,24,49,107,40,13,6,5,31
04:00,0,0,0,0,0,10,7,5,15,6,3,2,17,45,72,36,5,2,4,20
05:00,0,0,0,0,0,20,2,7,6,3,3,0,6,23,51,12,4,0,2,10
06:00,0,0,0,0,0,8,6,15,5,2,1,8,9,28,19,14,5,8,2,23
07:00,0,0,0,0,0,9,29,24,10,5,2,5,12,18,40,27,6,10,9,28
08:00,0,0,0,0,0,21,44,62,19,15,17,19,16,43,42,29,11,11,12,26
09:00,0,0,0,0,0,52,52,60,32,26,33,19,22,38,84,52,8,16,9,33
10:00,0,0,0,0,0,67,78,88,37,34,31,27,33,42,85,79,42,19,28,43
11:00,0,0,0,0,0,85,77,69,52,49,23,33,33,65,108,85,59,35,32,44
12:00,0,0,0,0,0,99,103,61,65,33,35,51,68,86,193,192,86,62,42,80
13:00,0,0,0,0,0,86,109,76,49,31,43,43,67,83,145,138,69,67,52,94
14:00,0,0,0,0,0,92,108,97,74,52,35,37,58,93,166,149,59,45,76,102
15:00,0,0,0,0,0,89,117,92,92,54,73,43,80,97,156,159,78,51,84,128
16:00,0,0,0,0,0,63,101,88,87,72,56,39,77,122,145,178,87,78,91,135
17:00,0,0,0,0,0,96,114,109,76,65,48,57,98,98,145,131,92,75,95,101
18:00,0,0,0,0,0,85,120,153,85,60,60,52,121,117,139,130,107,80,69,108
19:00,0,0,0,0,0,136,167,174,127,75,73,63,111,100,132,136,69,74,57,94
20:00,0,0,0,0,0,127,155,149,149,63,102,73,123,118,117,111,74,48,49,81
21:00,0,0,0,0,0,139,179,163,155,72,96,83,146,99,106,105,90,57,86,89
22:00,0,0,0,0,0,147,192,138,145,138,110,74,158,135,110,90,90,68,86,110
23:00,0,0,0,0,0,83,164,144,141,104,132,105,97,112,113,124,69,48,69,107
