Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,32,99,133,51,60,14,15,9,19,34,16,25,15,51,45
01:00,1,0,0,0,0,16,62,71,30,29,19,13,7,11,20,7,10,10,44,16
02:00,0,0,0,0,0,7,52,15,27,6,9,12,4,5,11,3,7,9,31,12
03:00,0,1,0,0,0,10,21,11,3,5,4,5,3,5,16,4,2,2,14,13
04:00,0,2,0,0,0,2,5,4,7,6,3,1,2,5,21,1,1,5,34,4
05:00,0,0,0,0,0,3,6,1,4,5,3,1,3,4,28,5,6,3,12,6
06:00,0,0,0,0,0,2,10,8,19,3,4,9,7,2,7,7,2,4,7,4
07:00,0,0,0,0,0,3,18,42,29,10,9,14,12,11,14,8,8,4,19,14
08:00,0,0,0,0,1,7,44,54,46,28,37,28,23,24,23,36,33,20,23,51
09:00,0,0,0,0,2,30,74,91,69,68,45,38,22,35,94,80,47,37,74,53
10:00,0,0,0,0,0,45,129,137,117,69,68,57,52,72,133,160,82,103,102,99
11:00,0,0,0,0,0,57,140,149,131,105,50,85,45,85,169,179,158,133,155,119
12:00,0,0,0,0,3,55,140,118,94,100,72,50,55,66,163,175,120,115,219,129
13:00,0,0,0,0,2,49,148,142,114,129,46,58,36,65,170,143,123,142,186,121
14:00,0,0,0,0,3,35,137,143,138,105,60,55,42,57,134,126,110,114,189,181
15:00,0,2,0,0,1,63,178,151,139,107,70,60,46,61,143,111,97,87,187,133
16:00,0,0,0,0,2,35,185,161,141,84,48,58,38,57,110,131,88,92,148,131
17:00,0,2,0,0,1,27,150,132,94,87,60,46,51,41,119,102,68,62,147,95
18:00,0,0,0,0,1,32,120,125,65,80,54,30,35,22,62,77,86,49,174,55
19:00,0,2,0,0,6,33,127,120,92,38,47,35,24,35,49,73,80,35,91,45
20:00,0,0,0,0,2,39,128,85,63,82,38,26,24,23,52,44,53,35,64,47
21:00,0,0,0,0,3,38,107,122,63,59,45,20,18,30,62,25,62,31,72,60
22:00,0,0,0,0,2,37,133,118,60,59,38,26,26,31,53,28,47,30,41,48
23:00,0,0,0,0,2,47,116,176,72,75,31,34,21,16,44,29,49,25,60,66
