Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,21,31,15,12,75,62,31,22,16,9,6,7,15,6,0,8,3
01:00,0,0,0,8,19,3,9,28,32,13,12,3,3,4,4,5,5,0,5,4
02:00,0,0,0,0,6,1,5,7,11,6,6,0,2,7,4,7,7,0,1,4
03:00,0,0,0,0,1,2,0,1,3,5,0,5,10,4,10,6,4,2,1,1
04:00,0,0,0,0,0,1,1,5,3,1,0,1,9,1,4,6,3,6,0,1
05:00,0,0,0,0,0,8,9,4,1,6,6,1,5,3,8,6,16,8,3,4
06:00,0,0,0,0,9,14,0,3,0,3,2,8,5,5,26,11,13,13,16,5
07:00,0,0,0,3,11,13,0,3,3,11,24,13,29,27,27,25,20,23,30,7
08:00,0,0,0,8,18,35,15,31,16,42,37,50,70,116,53,30,23,31,30,20
09:00,0,0,0,22,36,53,42,80,50,74,130,99,133,180,72,34,39,22,24,24
10:00,0,0,0,46,111,39,35,71,72,56,196,128,150,170,75,39,31,23,42,18
11:00,0,0,0,44,102,59,35,54,65,67,157,123,169,181,85,65,36,24,42,28
12:00,0,0,0,34,114,48,36,55,65,78,85,51,74,74,57,57,37,18,39,8
13:00,0,0,0,41,96,51,33,45,85,56,140,75,158,125,75,47,31,22,28,20
14:00,0,0,0,43,96,60,33,54,56,53,141,87,168,148,90,63,41,40,33,26
15:00,0,0,0,51,122,76,56,42,56,54,165,68,133,141,88,54,26,35,47,19
16:00,0,0,0,63,121,38,68,70,47,81,122,87,112,129,88,50,54,30,32,9
17:00,0,0,0,61,104,56,65,93,79,72,55,35,59,66,33,50,40,28,24,14
18:00,0,0,0,22,42,43,50,82,83,91,60,25,52,26,26,48,24,22,19,6
19:00,0,0,0,19,47,38,45,74,123,98,75,36,36,27,30,31,31,15,9,2
20:00,0,0,0,13,45,25,30,120,132,83,73,34,26,36,31,35,18,11,5,4
21:00,0,0,0,20,54,19,26,80,108,66,40,49,22,24,36,60,24,5,9,2
22:00,0,0,0,33,63,41,54,91,114,47,53,64,36,18,34,23,20,2,6,13
23:00,0,0,0,33,36,29,50,101,90,68,30,26,25,21,13,7,17,4,10,8
