Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,18,46,20,49,38,51,67,36,38,31,53,25,35,25,16
01:00,0,0,0,0,0,10,40,12,40,17,33,33,32,29,36,40,19,39,18,4
02:00,0,0,0,0,0,6,14,8,24,37,28,35,27,20,28,23,24,29,17,9
03:00,0,0,0,0,0,5,19,16,44,29,24,38,23,32,31,25,18,19,5,7
04:00,0,0,0,0,0,12,22,19,24,37,26,15,14,31,26,31,13,5,11,7
05:00,0,0,0,0,0,5,24,10,21,22,21,14,17,25,26,20,13,10,8,3
06:00,0,0,0,0,0,11,19,16,19,19,15,16,8,8,19,20,23,13,24,4
07:00,0,0,0,0,0,20,22,11,29,15,20,18,6,21,25,23,16,24,13,7
08:00,0,0,0,0,0,14,17,6,36,42,76,42,14,12,22,29,31,30,32,5
09:00,0,0,0,0,0,20,21,11,53,46,88,40,36,19,31,37,60,39,46,21
10:00,0,0,0,0,0,19,55,22,59,32,29,29,21,20,43,39,69,45,55,20
11:00,0,0,0,0,0,43,119,45,57,22,26,26,23,29,51,68,76,66,57,29
12:00,0,0,0,0,0,48,171,32,45,32,43,42,22,28,52,100,68,62,74,32
13:00,0,0,0,0,0,82,167,32,58,17,36,24,21,32,71,116,81,68,56,26
14:00,0,0,0,0,0,72,151,23,42,26,35,42,21,27,57,70,63,45,72,41
15:00,0,0,0,0,0,56,167,27,49,45,37,52,25,30,57,83,53,92,66,36
16:00,0,0,0,0,0,72,212,30,51,35,57,31,29,45,78,104,64,69,68,41
17:00,0,0,0,0,0,66,167,42,45,23,55,41,36,44,52,109,60,87,58,31
18:00,0,0,0,0,0,80,176,24,37,25,34,34,26,45,84,120,66,85,48,26
19:00,0,0,0,0,0,69,131,31,69,38,43,32,31,52,71,81,50,60,42,44
20:00,0,0,0,0,0,58,89,34,56,46,34,28,27,31,37,69,32,64,50,22
21:00,0,0,0,0,0,44,62,30,50,36,28,21,17,25,25,49,23,58,50,24
22:00,0,0,0,0,0,16,48,35,52,58,56,43,30,27,32,28,22,38,30,18
23:00,0,0,0,0,0,10,47,21,60,51,66,62,49,26,37,36,23,24,24,16
