Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,6,6,28,15,17,18,57,43,44,23,27,28
01:00,0,0,0,0,0,0,0,0,2,3,7,0,4,8,25,28,21,19,11,18
02:00,0,0,0,0,0,0,0,0,2,0,4,1,1,3,31,27,22,18,8,12
03:00,0,0,0,0,0,0,0,0,1,0,2,1,3,2,34,26,12,13,10,10
04:00,0,0,0,0,0,0,0,0,0,0,1,1,2,1,36,35,11,10,6,8
05:00,0,0,0,0,0,0,0,0,2,0,1,5,1,1,21,35,27,18,6,14
06:00,0,0,0,0,0,0,0,0,4,5,6,6,1,11,37,27,32,21,14,27
07:00,0,0,0,0,0,0,0,0,17,23,32,20,17,18,55,41,61,44,35,41
08:00,0,0,0,0,0,0,0,0,25,11,48,41,24,19,75,82,132,91,72,88
09:00,0,0,0,0,0,0,0,0,34,41,65,49,54,66,180,100,185,152,131,123
10:00,0,0,0,0,0,0,0,0,56,61,89,51,53,68,171,170,197,165,207,176
11:00,0,0,0,0,0,0,0,0,39,55,95,52,74,61,157,202,220,205,244,195
12:00,0,0,0,0,0,0,0,0,48,52,76,68,66,69,180,151,205,191,228,184
13:00,0,0,0,0,0,0,0,0,34,47,62,59,46,77,216,146,223,162,268,209
14:00,0,0,0,0,0,0,0,0,45,62,60,69,64,66,199,189,227,192,229,214
15:00,0,0,0,0,0,0,0,0,39,54,71,65,63,60,151,195,205,172,209,217
16:00,0,0,0,0,0,0,0,0,45,38,57,41,29,57,140,161,155,165,203,193
17:00,0,0,0,0,0,0,0,0,25,36,41,39,41,46,92,108,115,128,168,160
18:00,0,0,0,0,0,0,0,0,17,29,31,27,30,27,101,88,62,70,109,94
19:00,0,0,0,0,0,0,0,0,5,27,30,19,25,29,81,57,46,48,72,47
20:00,0,0,0,0,0,0,0,0,3,14,38,15,13,14,80,52,41,40,50,40
21:00,0,0,0,0,0,0,0,0,5,17,31,20,19,21,69,79,58,37,66,50
22:00,0,0,0,0,0,0,0,0,19,19,38,27,14,17,87,61,44,50,60,45
23:00,0,0,0,0,0,0,0,0,16,14,35,23,10,28,53,48,39,32,49,44
