Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,2,15,16,5,9,7,9,2,10
01:00,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,2,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
06:00,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,2,8,1,2
07:00,0,0,0,0,0,0,0,0,0,0,0,7,11,21,10,19,19,27,20,17
08:00,0,0,0,0,0,0,0,0,0,0,0,15,45,47,37,44,48,88,100,59
09:00,0,0,0,0,0,0,0,0,0,0,0,24,200,225,131,117,113,182,234,117
10:00,0,0,0,0,0,0,0,0,0,0,0,49,322,369,258,170,162,252,206,133
11:00,0,0,0,0,0,0,0,0,0,0,0,70,410,425,240,232,142,258,244,158
12:00,0,0,0,0,0,0,0,0,0,0,0,69,235,301,119,128,95,174,139,117
13:00,0,0,0,0,0,0,0,0,0,0,0,92,255,287,120,182,112,149,147,99
14:00,0,0,0,0,0,0,0,0,0,0,0,62,381,400,185,218,116,199,203,166
15:00,0,0,0,0,0,0,0,0,0,0,0,83,420,433,169,175,114,217,156,167
16:00,0,0,0,0,0,0,0,0,0,0,0,90,408,373,161,158,110,140,130,137
17:00,0,0,0,0,0,0,0,0,0,0,0,29,273,253,133,121,72,120,113,96
18:00,0,0,0,0,0,0,0,0,0,0,0,24,70,99,59,45,26,59,43,58
19:00,0,0,0,0,0,0,0,0,0,0,0,8,65,77,23,40,33,54,30,17
20:00,0,0,0,0,0,0,0,0,0,0,0,26,174,183,58,85,58,64,60,46
21:00,0,0,0,0,0,0,0,0,0,0,0,17,185,243,135,103,61,99,57,75
22:00,0,0,0,0,0,0,0,0,0,0,0,45,221,279,146,111,52,83,55,68
23:00,0,0,0,0,0,0,0,0,0,0,0,28,126,129,45,41,25,36,14,25
