Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0.2695417789757413,0.3927729772191673,0.38350910834132307,0.2455795677799607,0.4488778054862843,0.5113221329437546,0.4048582995951417,0.10230179028132991,0.6381620931716656
01:00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.02618486514794449,0.16778523489932887,0.0,0.14962593516209477,0.1460920379839299,0.0,0.0,0.0
02:00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.047938638542665384,0.0,0.0,0.0,0.0,0.0,0.0
03:00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0899685110211426,0.0,0.0
04:00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1349527665317139,0.051150895140664954,0.0
06:00,0,0,0,0,0,0,0,0,0,0,0,0.2695417789757413,0.05236973029588898,0.07190795781399809,0.09823182711198428,0.199501246882793,0.1460920379839299,0.3598740440845704,0.051150895140664954,0.12763241863433314
07:00,0,0,0,0,0,0,0,0,0,0,0,0.9433962264150944,0.2880335166273894,0.5033557046979865,0.4911591355599214,0.9476309226932668,1.3878743608473338,1.214574898785425,1.0230179028132993,1.0848755583918315
08:00,0,0,0,0,0,0,0,0,0,0,0,2.0215633423180592,1.178318931657502,1.1265580057526365,1.8172888015717092,2.1945137157107233,3.506208911614317,3.9586144849302745,5.115089514066496,3.765156349712827
09:00,0,0,0,0,0,0,0,0,0,0,0,3.234501347708895,5.236973029588897,5.393096836049857,6.434184675834971,5.835411471321696,8.254200146092037,8.187134502923977,11.9693094629156,7.466496490108487
10:00,0,0,0,0,0,0,0,0,0,0,0,6.60377358490566,8.431526577638126,8.844678811121764,12.671905697445974,8.478802992518704,11.83345507669832,11.336032388663968,10.537084398976983,8.487555839183154
11:00,0,0,0,0,0,0,0,0,0,0,0,9.433962264150944,10.73579471065724,10.186960690316395,11.787819253438114,11.571072319201996,10.372534696859022,11.605937921727396,12.48081841432225,10.082961072112315
12:00,0,0,0,0,0,0,0,0,0,0,0,9.299191374663073,6.1534433097669545,7.2147651006711415,5.844793713163065,6.384039900249376,6.939371804236669,7.827260458839406,7.10997442455243,7.466496490108487
13:00,0,0,0,0,0,0,0,0,0,0,0,12.398921832884097,6.677140612725845,6.879194630872483,5.893909626719057,9.077306733167083,8.181154127100074,6.7026540710751235,7.5191815856777495,6.317804722399489
14:00,0,0,0,0,0,0,0,0,0,0,0,8.355795148247978,9.97643362136685,9.587727708533079,9.086444007858546,10.87281795511222,8.473338203067932,8.95186684660369,10.383631713554987,10.59349074664965
15:00,0,0,0,0,0,0,0,0,0,0,0,11.185983827493262,10.997643362136685,10.378715244487056,8.300589390962672,8.728179551122196,8.327246165084002,9.761583445793972,7.979539641943734,10.657306955966815
16:00,0,0,0,0,0,0,0,0,0,0,0,12.129380053908356,10.683424980361352,8.940556088207096,7.907662082514736,7.880299251870324,8.035062089116144,6.297795771479982,6.649616368286446,8.742820676451819
17:00,0,0,0,0,0,0,0,0,0,0,0,3.908355795148248,7.148468185388845,6.064237775647172,6.532416502946954,6.034912718204489,5.259313367421475,5.398110661268556,5.780051150895141,6.12635609444799
18:00,0,0,0,0,0,0,0,0,0,0,0,3.234501347708895,1.8329405603561142,2.372962607861937,2.8978388998035363,2.2443890274314215,1.8991964937910883,2.654071075123707,2.1994884910485935,3.7013401403956605
19:00,0,0,0,0,0,0,0,0,0,0,0,1.078167115902965,1.7020162346163918,1.8456375838926176,1.1296660117878194,1.99501246882793,2.410518626734843,2.42914979757085,1.5345268542199488,1.0848755583918315
20:00,0,0,0,0,0,0,0,0,0,0,0,3.5040431266846364,4.556166535742341,4.3863854266538835,2.848722986247544,4.239401496259352,4.236669101533966,2.8789923526765633,3.0690537084398977,2.935545628589662
21:00,0,0,0,0,0,0,0,0,0,0,0,2.2911051212938007,4.84420005236973,5.824544582933845,6.630648330058938,5.13715710723192,4.455807158509861,4.4534412955465585,2.915601023017903,4.786215698787492
22:00,0,0,0,0,0,0,0,0,0,0,0,6.064690026954178,5.786855197695732,6.687440076701821,7.170923379174853,5.5361596009975065,3.7983929875821767,3.7336932073774176,2.813299232736573,4.339502233567326
23:00,0,0,0,0,0,0,0,0,0,0,0,3.7735849056603774,3.2992930086410057,3.0920421860019176,2.2102161100196462,2.044887780548628,1.8261504747991233,1.6194331983805668,0.7161125319693095,1.595405232929164
