Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,3
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,25
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,47,65
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,64,97,88
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,126,148,132
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,199,190,128
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,208,172,165
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,161,156,141
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,143,180,139
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,198,176,156
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,190,180,164
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,149,173,149
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,98,98,93
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,43,36,50
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,27,18
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,10,15
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,11,12
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,9
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,6
