Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,17,49,78,83,224,323,86,9,29,8,10,17,11,14,36,23,19,36,10,44
01:00,15,69,39,11,15,15,11,5,3,4,4,5,3,13,16,13,33,25,24,12
02:00,10,18,150,35,20,11,12,0,6,8,0,0,2,16,10,15,22,11,15,5
03:00,9,6,135,23,19,13,8,0,2,0,1,2,3,20,21,13,13,8,16,4
04:00,5,70,28,26,14,14,14,0,0,0,3,3,5,6,10,3,7,4,1,5
05:00,2,116,28,25,20,26,8,3,0,0,7,1,3,4,1,4,17,7,0,2
06:00,22,40,43,14,45,23,12,10,14,3,24,1,3,7,3,3,20,16,22,22
07:00,36,67,260,31,49,60,32,57,30,1,58,28,23,13,18,26,75,52,76,59
08:00,209,163,436,162,170,125,112,150,83,83,208,83,57,38,36,52,89,99,93,85
09:00,463,615,586,390,340,298,311,385,238,190,237,155,152,78,69,144,123,159,119,107
10:00,638,744,836,524,377,396,419,438,381,239,217,197,241,211,157,209,146,186,130,140
11:00,642,785,886,512,448,429,435,319,319,188,188,163,204,196,156,190,144,176,150,135
12:00,329,466,608,397,360,426,296,215,170,151,108,90,99,108,135,136,160,175,166,128
13:00,547,588,694,456,431,445,437,341,312,135,175,153,154,231,222,221,211,215,155,174
14:00,644,685,724,521,408,477,460,505,435,211,176,167,161,242,249,289,245,229,179,151
15:00,528,616,759,499,424,488,460,373,254,138,188,142,159,241,277,289,196,196,175,202
16:00,582,547,775,428,375,431,403,424,271,150,167,135,160,220,234,177,212,187,149,181
17:00,359,406,474,281,241,250,349,386,187,108,129,98,114,155,149,162,180,191,122,119
18:00,152,206,302,182,183,164,155,150,100,39,66,42,34,91,127,135,132,129,81,65
19:00,64,139,162,103,123,140,80,78,55,21,32,40,18,78,100,110,105,99,44,37
20:00,37,66,69,55,77,66,63,63,54,13,33,34,14,73,107,62,123,76,35,27
21:00,345,146,56,60,62,36,55,55,48,20,45,32,33,78,71,76,87,85,44,21
22:00,29,49,60,94,18,20,37,36,39,6,32,32,31,62,58,52,67,43,24,22
23:00,16,42,28,105,162,95,60,24,21,14,30,31,19,35,52,39,42,50,43,25
