Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,2,7,26,18,69,25,74,71,145,154,102,66,33,10,21,113,26,86,10
01:00,0,0,10,20,18,31,18,49,108,117,142,84,42,39,28,20,126,31,69,19
02:00,0,1,7,13,12,18,5,39,75,68,86,37,64,54,25,24,110,30,101,36
03:00,0,0,13,5,9,3,4,32,45,29,67,32,22,33,45,39,102,69,128,43
04:00,0,0,8,11,6,3,2,20,24,32,40,31,26,17,44,35,76,64,144,31
05:00,0,0,7,9,5,0,0,19,12,9,40,20,14,16,33,23,47,64,131,60
06:00,0,2,2,4,5,0,1,16,6,7,46,54,23,5,25,19,35,62,87,50
07:00,0,0,2,6,3,1,1,21,4,18,27,43,65,36,11,26,23,49,69,68
08:00,0,0,4,6,0,0,0,22,7,29,45,55,72,23,35,25,32,39,80,48
09:00,0,0,4,9,3,1,14,33,23,22,68,60,85,26,7,22,34,40,83,78
10:00,0,2,3,10,6,8,18,43,31,58,65,66,118,31,39,36,44,33,79,69
11:00,0,0,4,10,10,3,20,20,25,63,84,85,106,55,13,21,48,40,53,56
12:00,0,1,2,15,13,6,4,24,21,38,43,73,83,60,39,28,50,31,29,27
13:00,0,1,7,22,3,0,15,18,25,37,73,88,87,56,28,24,80,22,29,9
14:00,0,1,12,17,8,6,10,29,10,25,72,73,95,29,28,18,74,16,23,4
15:00,0,4,14,20,7,8,20,8,6,24,45,73,98,40,25,26,67,8,16,3
16:00,0,1,15,14,15,7,18,12,11,25,34,64,115,55,59,16,70,7,21,1
17:00,0,0,7,33,6,18,6,14,15,19,28,64,105,26,24,14,70,9,16,1
18:00,0,0,17,36,14,9,12,16,7,16,16,72,70,30,23,12,85,27,34,6
19:00,0,0,10,30,12,17,7,19,20,23,56,85,75,28,26,32,102,32,50,9
20:00,0,1,9,17,14,15,6,33,23,23,87,110,92,22,30,28,130,39,62,12
21:00,0,0,14,25,17,19,12,45,46,26,85,103,86,39,31,23,159,43,58,16
22:00,0,0,10,12,17,15,7,53,39,42,107,102,73,55,34,26,146,60,88,10
23:00,0,2,9,33,19,53,14,56,43,76,114,118,98,40,71,27,108,31,51,4
