Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,469,577,710,527,199,205,259,160,116,2768,91,77,84,107,93,89,70,60,53,23
01:00,330,473,447,402,149,151,153,136,111,88,42,42,64,67,67,62,52,43,24,15
02:00,268,342,326,210,138,112,93,96,83,34,22,26,36,51,30,19,31,20,9,13
03:00,128,258,212,194,94,76,50,46,67,36,18,19,27,24,19,21,11,21,4,4
04:00,90,160,186,86,56,54,36,32,52,26,32,17,10,10,10,13,6,22,9,5
05:00,38,114,166,110,56,78,27,22,18,28,29,19,13,10,10,17,6,9,9,8
06:00,82,184,196,198,137,119,54,14,27,52,37,18,23,22,31,33,23,14,16,17
07:00,155,330,340,349,133,143,88,31,23,56,53,45,33,56,29,56,49,43,32,25
08:00,323,530,673,662,253,249,203,90,65,142,139,84,76,132,105,101,107,122,147,101
09:00,508,886,1285,1152,353,483,409,244,167,231,237,118,126,157,202,167,161,190,174,132
10:00,786,1221,1738,1495,598,670,713,435,188,305,274,163,157,267,238,203,226,177,213,177
11:00,923,1466,2015,1854,674,787,822,444,285,379,302,187,194,295,237,224,244,223,232,187
12:00,1016,1621,1894,1829,843,888,1019,611,303,331,297,192,238,348,273,282,255,253,204,185
13:00,1034,1513,2028,1794,814,913,1000,492,342,410,282,190,230,319,297,257,271,223,236,204
14:00,1162,1636,1970,2026,980,954,1006,599,418,479,376,205,253,322,310,283,285,248,242,217
15:00,1152,1633,2056,1913,940,903,1007,642,484,484,360,209,218,364,324,314,253,212,207,214
16:00,1058,1596,2160,1725,890,963,1002,512,448,417,298,183,223,362,307,231,266,242,237,195
17:00,969,1500,1862,1604,771,886,772,399,386,333,204,180,196,296,251,245,217,202,208,157
18:00,804,1371,1533,1434,737,731,751,316,369,256,189,159,177,242,225,193,226,217,138,136
19:00,739,1185,1284,1293,741,548,585,298,367,244,183,134,117,242,213,164,175,149,138,91
20:00,617,969,1088,1083,593,435,469,223,292,252,196,113,143,166,157,142,153,101,78,79
21:00,629,953,973,1004,633,426,440,278,262,184,151,105,124,136,129,117,136,79,88,63
22:00,681,835,913,898,457,386,331,198,252,204,129,90,148,174,184,137,138,91,73,52
23:00,555,636,822,730,279,324,329,198,173,2475,93,101,106,182,146,128,91,90,60,35
