Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,11,87,339,489,687,463,276,353,277,302,262,10,0,0,0
01:00,0,0,0,0,1,79,558,359,508,543,428,286,341,303,277,305,19,0,0,0
02:00,0,0,0,1,0,2,185,262,264,258,226,112,144,111,104,97,3,0,0,0
03:00,0,0,0,2,0,2,51,140,179,137,123,49,95,78,63,64,1,0,0,0
04:00,0,0,0,0,1,6,89,82,103,85,95,73,67,39,33,44,0,0,0,0
05:00,0,0,0,0,0,4,41,31,57,79,71,70,61,28,26,25,4,0,0,0
06:00,0,0,0,0,0,1,77,35,60,69,49,41,76,24,28,42,1,0,0,0
07:00,0,0,0,0,0,2,59,34,43,30,39,38,31,28,32,35,1,0,0,0
08:00,0,0,1,1,0,5,50,36,45,42,23,37,40,28,59,49,3,0,0,0
09:00,0,0,0,0,0,13,126,71,91,71,46,68,127,98,134,117,13,0,0,0
10:00,0,0,0,1,0,18,240,163,112,96,81,99,162,171,163,131,9,0,0,0
11:00,0,0,0,0,0,21,222,186,186,118,100,138,205,186,210,164,8,0,0,0
12:00,0,0,0,0,0,11,110,267,230,150,135,197,201,214,199,170,11,0,0,0
13:00,0,0,0,1,0,9,165,219,183,136,118,167,238,189,150,188,13,0,0,0
14:00,0,0,0,0,0,27,224,157,180,122,87,165,185,225,158,170,11,0,0,0
15:00,0,0,0,0,1,27,233,217,179,162,140,173,256,215,160,152,10,0,0,0
16:00,0,0,0,0,7,22,250,253,235,304,224,206,281,230,210,194,6,0,0,0
17:00,0,0,0,0,2,14,233,291,472,465,404,252,388,352,278,313,14,0,0,0
18:00,0,0,0,0,0,22,133,375,693,679,506,344,506,426,381,341,21,0,0,0
19:00,0,0,0,1,0,16,108,457,765,783,595,340,451,406,366,319,19,0,0,0
20:00,0,0,2,1,0,9,105,309,539,563,397,280,403,339,255,216,16,0,0,0
21:00,0,0,3,0,0,5,110,306,496,627,400,282,413,312,250,308,16,0,0,0
22:00,0,0,0,0,0,7,97,334,721,751,540,328,435,313,279,284,7,0,0,0
23:00,0,0,0,3,0,3,111,337,564,704,571,302,429,340,258,243,15,0,0,0
