Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,6,12,13,11,14,3,11,4
08:00,0,0,0,0,0,0,0,0,0,0,0,0,4,13,16,3,12,8,17,11
09:00,0,0,0,0,0,0,0,0,0,0,0,0,8,33,19,10,21,10,20,14
10:00,0,0,0,0,0,0,0,0,0,0,0,0,27,42,23,25,25,25,26,31
11:00,0,0,0,0,0,0,0,0,0,0,0,0,15,37,27,25,25,25,44,27
12:00,0,0,0,0,0,0,0,0,0,0,0,0,17,33,23,15,26,16,24,26
13:00,0,0,0,0,0,0,0,0,0,0,0,0,16,34,36,25,18,32,31,36
14:00,0,0,0,0,0,0,0,0,0,0,0,0,22,54,28,20,26,29,48,30
15:00,0,0,0,0,0,0,0,0,0,0,0,0,19,40,34,17,31,36,38,27
16:00,0,0,0,0,0,0,0,0,0,0,0,0,15,31,28,14,11,30,23,21
17:00,0,0,0,0,0,0,0,0,0,0,0,0,1,28,13,17,15,20,15,13
18:00,0,0,0,0,0,0,0,0,0,0,0,0,2,16,17,4,12,16,19,10
19:00,0,0,0,0,0,0,0,0,0,0,0,0,1,15,9,7,12,7,23,4
20:00,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,5,2,20,1
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,6,6,2
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,6,2,4
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
