Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,50,67,46,47,25,14,7,4,5,10,28,159,84,80,60,28,34,15,0,0
01:00,74,63,54,18,22,16,6,11,7,12,92,138,113,78,62,24,33,9,0,0
02:00,40,45,19,30,18,11,6,18,10,5,39,166,133,89,64,28,40,13,0,0
03:00,37,67,16,4,11,6,6,9,8,6,54,189,116,130,91,30,55,27,0,0
04:00,47,52,43,33,40,28,17,19,21,15,58,198,120,131,89,27,56,16,0,0
05:00,58,65,64,48,74,37,27,19,21,30,56,175,106,101,73,41,68,27,0,0
06:00,57,101,88,83,91,51,50,39,55,29,98,172,117,104,87,48,75,24,0,0
07:00,90,119,109,70,103,67,64,54,57,76,133,145,103,73,78,38,81,25,0,0
08:00,84,121,89,57,73,89,67,48,78,85,164,141,137,108,63,46,45,13,0,0
09:00,86,79,58,57,54,52,49,60,94,96,156,123,105,89,95,45,48,15,0,0
10:00,89,77,33,40,71,61,46,51,71,94,184,135,93,87,77,30,54,32,0,0
11:00,78,91,39,56,71,77,66,40,83,76,139,69,95,78,50,27,41,18,0,0
12:00,115,87,52,44,74,55,68,48,60,80,128,76,65,69,52,30,46,18,0,0
13:00,70,90,29,50,84,81,54,58,85,103,142,74,91,56,54,46,28,16,0,0
14:00,111,99,43,37,76,68,53,50,125,109,147,68,53,54,61,39,24,8,0,0
15:00,99,67,39,40,57,56,68,62,82,114,176,46,32,39,32,18,22,16,0,0
16:00,84,54,38,34,62,45,42,51,67,72,142,47,38,31,24,24,29,7,0,0
17:00,98,62,50,42,51,43,33,28,71,79,97,49,46,26,53,17,24,6,0,0
18:00,57,54,47,54,48,74,38,18,47,71,84,73,80,39,50,35,18,6,0,0
19:00,88,59,75,30,48,61,38,15,50,38,71,63,54,54,35,16,11,4,0,0
20:00,84,51,45,33,41,47,28,17,25,37,84,87,71,54,45,33,12,5,0,0
21:00,78,59,61,23,22,36,34,14,28,34,64,46,40,28,35,18,13,2,0,0
22:00,59,63,64,25,22,21,14,15,6,19,66,117,72,75,66,25,8,4,0,0
23:00,69,58,59,24,17,23,11,9,10,17,72,114,70,61,49,20,33,5,0,0
