Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,79,82,109,130,212
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,54,43,59,161
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,15,20,43,55
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,6,19,7,30
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,19,10,22
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,12,13,10
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,3,7,14,7
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,9,10,18,21
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,15,11,30,33,19
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,33,31,58,54,38
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,82,71,100,127,124
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,149,135,266,207,206
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,137,139,236,254,225
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,175,143,160,171,197
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,180,126,255,210,203
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,187,154,258,200,233
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,175,147,161,195,238
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,120,161,214,229,277
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,126,155,174,239,270
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,107,158,232,421,263
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,95,119,152,205,213
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,110,116,189,220,211
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,127,106,195,251,196
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,120,114,192,176,211
