Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.260915307732772,3.769083969465649,3.974793989335919,3.5036965605914494,3.7292025243832474,5.820977484898408
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6833245660178853,1.5267175572519083,2.617547261269995,1.3821922211507554,1.6924842226047045,4.420647995606809
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8416622830089426,0.8587786259541985,0.7270964614638876,0.6428801028608165,1.2335054503729201,1.5101592531576058
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6312467122567069,0.33396946564885494,0.290838584585555,0.6107360977177756,0.2008032128514056,0.8237232289950577
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21041557075223566,0.2862595419847328,0.24236548715462916,0.6107360977177756,0.2868617326448652,0.6040637012630422
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3682272488164124,0.09541984732824427,0.1454192922927775,0.3857280617164899,0.3729202524383247,0.2745744096650192
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6838506049447659,0.09541984732824427,0.1454192922927775,0.22500803600128574,0.4016064257028112,0.19220208676551345
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7364544976328248,0.5725190839694656,0.4362578768783325,0.32144005143040827,0.5163511187607573,0.5766062602965404
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6833245660178853,0.7156488549618321,0.5332040717401841,0.9643201542912248,0.9466437177280551,0.5216913783635365
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.787480273540242,1.5744274809160304,1.502666020358701,1.8643522982963678,1.549053356282272,1.043382756727073
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9978958442924775,3.9122137404580157,3.4415899175957345,3.2144005143040824,3.6431440045897876,3.4047226798462384
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.364544976328248,7.108778625954199,6.543868153174988,8.550305368048859,5.938037865748709,5.656232839099396
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.048921620199895,6.536259541984733,6.737760542898691,7.585985213757635,7.286288009179575,6.177924217462932
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.312993161493951,8.349236641221374,6.931652932622395,5.143040822886532,4.905335628227195,5.409115870400879
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.733824302998422,8.587786259541986,6.107610276296655,8.19672131147541,6.024096385542169,5.573860516199891
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.891635981062598,8.92175572519084,7.464857004362578,8.293153326904532,5.737234652897303,6.3975837451949475
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25986322987901,8.349236641221374,7.125545322346098,5.175184828029573,5.593803786574871,6.534870950027457
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.944765912677538,5.7251908396946565,7.804168686379059,6.878817100610736,6.569133677567413,7.605711147721032
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.523408732246186,6.011450381679389,7.513330101793504,5.593056894889104,6.8559954102122775,7.413509060955518
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.522356654392424,5.104961832061069,7.658749394086282,7.457409193185471,12.076878944348824,7.221306974190006
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.733824302998422,4.5324427480916025,5.768298594280175,4.885888781742205,5.880665519219736,5.848434925864909
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.628090478695424,5.248091603053435,5.622879301987397,6.075216972034716,6.310958118187034,5.793520043931905
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.048921620199895,6.059160305343511,5.138148327678139,6.26808100289296,7.200229489386116,5.381658429434377
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.102051551814834,5.7251908396946565,5.525933107125545,6.171648987463838,5.048766494549628,5.793520043931905
