Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,13,78,38,21,54,93,76,86,60,90,40,68,41,28
01:00,0,0,0,0,0,0,8,29,12,10,27,53,58,30,39,32,16,22,10,7
02:00,0,0,0,0,0,0,3,4,10,6,25,22,23,21,17,15,5,11,11,3
03:00,0,0,0,0,0,0,1,3,6,5,14,12,13,16,7,10,9,7,7,1
04:00,0,0,0,0,0,0,0,3,3,1,1,2,4,8,7,6,2,6,2,10
05:00,0,0,0,0,0,0,0,5,1,3,2,3,9,7,19,13,2,14,7,8
06:00,0,0,0,0,0,0,5,13,8,12,2,12,11,18,30,15,14,19,35,33
07:00,0,0,0,0,0,0,6,19,10,13,14,26,57,73,66,63,87,105,96,92
08:00,0,0,0,0,0,0,3,53,39,51,38,62,127,107,108,130,176,165,218,135
09:00,0,0,0,0,0,0,17,87,60,52,83,116,163,172,167,206,169,177,314,149
10:00,0,0,0,0,0,0,14,83,77,79,105,215,208,211,230,282,242,248,345,182
11:00,0,0,0,0,0,0,25,107,87,102,168,238,308,329,307,303,297,300,322,199
12:00,0,0,0,0,0,0,31,148,108,98,168,266,400,332,284,257,264,264,290,150
13:00,0,0,0,0,0,0,27,131,103,90,162,284,289,286,286,271,307,241,300,170
14:00,0,0,0,0,0,0,24,124,113,91,175,268,284,322,276,281,290,253,268,169
15:00,0,0,0,0,0,0,25,139,118,92,190,257,253,309,286,271,285,220,299,154
16:00,0,0,0,0,0,0,20,137,120,106,146,211,268,271,296,228,242,223,265,146
17:00,0,0,0,0,0,0,36,131,105,97,119,197,234,256,235,231,240,180,216,134
18:00,0,0,0,0,0,0,14,132,89,70,127,187,220,189,170,198,190,166,176,88
19:00,0,0,0,0,0,0,19,122,91,74,110,145,159,139,127,118,136,146,134,64
20:00,0,0,0,0,0,0,27,107,103,52,118,189,233,147,118,127,128,117,140,86
21:00,0,0,0,0,0,0,28,121,101,91,131,209,274,183,92,125,137,97,116,104
22:00,0,0,0,0,0,0,33,142,118,92,113,197,240,172,111,159,119,115,88,102
23:00,0,0,0,0,0,0,15,111,85,60,72,144,150,166,108,144,89,118,82,49
