Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,81,54,35,24,74,21,18,25,40,29,61,50,52,22,21,18,13,32,3,4
01:00,88,30,38,26,55,14,16,15,13,20,59,58,30,26,13,11,8,12,5,1
02:00,59,36,28,14,51,15,22,27,22,11,54,42,22,31,9,5,3,8,2,0
03:00,65,17,21,13,37,5,3,7,13,11,25,26,26,22,4,6,3,0,2,0
04:00,46,24,17,5,21,4,0,9,2,12,6,29,9,13,3,0,0,5,1,1
05:00,19,14,6,12,19,1,0,9,4,1,11,11,2,2,1,1,0,5,1,1
06:00,10,5,0,3,6,2,2,2,2,0,5,9,6,9,3,2,0,6,1,1
07:00,14,4,7,3,1,1,4,0,5,0,6,9,6,4,1,2,1,3,0,0
08:00,10,3,8,9,12,16,12,3,6,1,22,19,23,12,6,5,7,10,12,9
09:00,15,12,9,4,33,9,11,6,14,6,47,18,25,25,14,16,9,16,11,5
10:00,45,37,16,15,35,45,10,12,10,22,55,36,40,40,34,43,33,37,158,128
11:00,79,55,34,28,64,52,40,35,25,59,115,77,77,102,142,110,53,57,155,103
12:00,43,31,35,29,87,36,33,29,35,81,123,70,121,80,104,95,69,75,138,87
13:00,113,42,52,51,133,62,39,53,44,69,154,121,81,73,89,109,53,48,80,63
14:00,155,67,58,63,140,95,59,68,63,92,187,160,121,96,92,98,72,79,70,72
15:00,156,71,53,72,132,102,72,52,53,102,227,129,129,107,88,77,70,84,72,59
16:00,185,79,86,64,153,86,81,58,50,119,242,128,135,114,93,73,68,64,89,29
17:00,207,83,82,87,172,91,57,63,53,130,242,170,127,90,94,61,72,41,36,25
18:00,135,104,91,98,154,58,51,66,50,90,243,135,101,63,55,32,42,41,23,19
19:00,132,98,73,73,142,58,58,38,28,94,181,73,91,52,49,32,32,19,19,18
20:00,130,77,67,46,103,56,23,38,27,58,172,80,87,36,24,22,20,11,12,11
21:00,118,66,56,31,111,36,37,46,49,48,121,40,81,29,14,11,9,10,7,4
22:00,97,56,55,34,132,47,25,78,36,59,123,58,83,32,16,18,25,26,17,16
23:00,134,45,53,14,150,40,24,35,46,68,116,54,58,39,23,21,16,36,5,17
