Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,21,22,20,13,15,24,58,68,60,17,26,15,31,30
01:00,0,0,0,0,0,0,35,19,61,28,31,24,69,78,54,25,29,24,26,30
02:00,0,0,0,0,0,0,59,30,47,54,37,44,65,45,41,29,18,13,22,16
03:00,0,0,0,0,0,0,51,21,62,45,23,36,42,52,72,22,37,21,28,10
04:00,0,0,0,0,0,0,44,23,38,60,35,32,71,69,49,25,22,36,23,23
05:00,0,0,0,0,0,0,37,16,38,70,38,43,61,60,51,28,28,18,20,16
06:00,0,0,0,0,0,0,51,21,52,93,47,53,65,61,41,30,25,30,16,28
07:00,0,0,0,0,0,0,34,20,60,130,55,42,77,62,46,32,36,34,25,23
08:00,0,0,0,0,0,0,36,23,71,121,67,51,63,46,46,32,21,25,26,27
09:00,0,0,0,0,0,0,46,17,22,51,22,26,44,54,45,25,23,29,33,18
10:00,0,0,0,0,0,0,27,8,21,40,17,12,45,64,42,19,22,30,37,35
11:00,0,0,0,0,0,0,11,2,22,48,14,11,47,91,42,41,27,18,41,23
12:00,0,0,0,0,0,0,17,8,39,31,10,14,48,107,48,42,26,23,27,40
13:00,0,0,0,0,0,0,13,14,21,16,8,13,52,86,41,45,16,18,23,22
14:00,0,0,0,0,0,0,24,17,18,2,13,8,41,95,39,23,17,13,41,15
15:00,0,0,0,0,0,0,5,2,22,13,5,13,47,94,38,28,19,17,30,25
16:00,0,0,0,0,0,0,8,11,17,10,6,8,61,118,44,34,33,15,22,30
17:00,0,0,0,0,0,0,9,4,9,7,4,4,50,113,46,34,29,15,22,19
18:00,0,0,0,0,0,0,7,4,11,7,1,5,61,99,41,29,17,26,28,27
19:00,0,0,0,0,0,0,12,11,17,5,22,8,38,76,42,20,26,9,27,22
20:00,0,0,0,0,0,0,9,4,7,5,7,26,25,35,35,15,13,9,21,18
21:00,0,0,0,0,0,0,7,0,5,6,3,2,8,60,30,8,13,6,17,7
22:00,0,0,0,0,0,1,12,5,6,3,8,2,34,56,38,9,5,7,17,15
23:00,0,0,0,0,0,0,24,7,20,6,6,9,207,61,34,2,13,19,12,21
