Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,42,201,125,95,11,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,77,87,97,7,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,14,55,67,72,9,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,8,85,28,51,5,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,1,5,24,22,23,9,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,13,25,4,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,12,18,4,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,18,19,9,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63,67,36,9,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,19,51,93,84,22,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,37,97,91,87,21,0,0
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,42,140,109,85,23,0,0
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,49,305,136,102,7,0,0
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,84,278,271,118,37,0,0
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,64,130,172,116,19,0,0
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,48,153,145,143,21,0,0
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,44,138,142,141,33,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,46,148,127,188,18,0,0
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,65,158,165,201,30,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,50,165,169,166,21,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,51,170,133,127,19,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,68,218,174,114,13,0,0
22:00,0,0,0,0,0,0,0,1,0,0,0,0,0,68,276,227,258,15,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,87,181,162,210,11,0,0
