Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,18,9,3,0,6,5,10,8,12,15,5,9,5,0,3,8,29,5,8,8
01:00,6,9,0,0,0,8,20,7,17,21,13,13,7,2,6,8,15,2,7,9
02:00,2,9,1,0,6,7,23,8,31,23,16,16,7,0,3,5,5,3,3,4
03:00,0,2,0,3,20,16,23,19,43,36,19,18,7,5,4,5,6,1,3,5
04:00,0,1,0,6,47,78,50,39,74,51,30,34,12,4,4,1,7,3,3,1
05:00,0,0,0,9,108,191,120,73,182,102,73,68,18,3,2,2,8,2,2,3
06:00,0,0,2,25,171,207,98,82,215,135,126,99,41,18,3,5,10,3,1,4
07:00,4,0,2,17,112,77,69,61,133,86,79,75,28,6,4,3,3,2,2,4
08:00,13,6,11,33,140,165,112,86,210,115,119,68,33,2,1,3,11,2,7,10
09:00,10,31,85,140,146,215,120,64,261,138,121,102,41,9,8,3,20,2,11,21
10:00,43,56,151,134,176,199,105,63,207,112,119,91,37,22,12,23,22,10,29,59
11:00,44,68,100,90,197,213,133,71,225,146,127,93,56,55,24,59,55,35,51,86
12:00,50,62,97,121,183,200,93,22,150,134,91,84,36,41,56,102,114,77,82,102
13:00,83,103,143,114,65,83,52,38,90,84,74,46,33,71,99,144,177,108,101,110
14:00,83,101,151,141,51,69,68,34,89,84,40,39,36,79,89,169,184,140,122,158
15:00,93,109,166,134,41,66,67,43,77,88,50,41,45,83,101,247,169,137,171,176
16:00,97,112,180,110,39,80,77,39,68,82,59,46,41,78,90,269,229,151,150,231
17:00,100,75,97,49,39,85,63,40,46,64,35,37,58,96,120,240,187,171,135,186
18:00,69,37,23,38,40,66,64,22,23,30,42,38,40,55,114,228,180,115,115,160
19:00,29,28,11,9,9,43,37,11,13,15,21,15,26,56,99,189,180,153,111,104
20:00,27,33,30,10,5,38,19,4,7,2,10,11,24,30,60,170,118,99,84,69
21:00,21,27,23,8,9,27,11,0,4,3,13,5,3,14,35,52,70,66,52,45
22:00,28,33,36,10,7,10,11,1,8,1,5,2,3,11,16,13,56,22,27,39
23:00,31,23,23,2,7,11,18,5,7,3,5,3,0,3,8,28,28,9,5,18
