Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0.0,1.138450238707308,1.050420168067227,1.130615888128533,1.4713750668806849,1.539645881447267,0.9953703703703705,1.2878991145693586,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0.0,0.6243114212265883,0.6932773109243697,0.5653079440642665,0.7223113964686998,0.4618937644341801,0.4166666666666667,0.9390931043734908,0,0,0,0
02:00,0,0,0,0,0,0,0,0,0.0,0.3672420124862284,0.5462184873949579,0.41654269562630164,0.2140181915462814,0.30792917628945343,0.16203703703703703,0.26831231553528306,0,0,0,0
03:00,0,0,0,0,0,0,0,0,0.0,0.6977598237238339,0.4411764705882353,0.3867896459387087,0.2140181915462814,0.30792917628945343,0.0462962962962963,0.053662463107056614,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0.0,0.3305178112376056,0.5042016806722689,0.20827134781315082,0.2407704654895666,0.1924557351809084,0.06944444444444445,0.18781862087469814,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0.0,0.44069041498347417,0.6512605042016807,0.32728354656352276,0.18726591760299627,0.13471901462663588,0.1388888888888889,0.026831231553528307,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0.0,0.6243114212265883,0.7352941176470588,0.32728354656352276,0.26752273943285176,0.5581216320246343,0.3703703703703704,0.4024684733029246,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0.0,1.0650018362100624,1.0294117647058822,0.6545670931270455,0.5617977528089888,0.6158583525789069,0.32407407407407407,0.5634558626240944,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0.0,1.7627616599338967,2.2478991596638656,2.618268372508182,3.103263777421081,3.21401077752117,4.027777777777778,3.0050979339951702,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0.0,5.5820785897906715,4.348739495798319,5.59357334126748,5.270197966827181,5.638953040800616,5.416666666666667,5.178427689830963,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0.0,7.491737054719059,7.857142857142857,8.747396608152336,8.400214018191546,8.371824480369515,8.217592592592593,8.666487791789642,0,0,0,0
11:00,0,0,0,0,0,0,0,0,0.0,8.226221079691516,7.962184873949579,11.335911930972925,9.81808453718566,9.160892994611238,9.722222222222223,10.759323852964851,0,0,0,0
12:00,0,0,0,0,0,0,0,0,0.0,7.675358060962174,6.386554621848739,7.229991074085093,6.072766185125736,7.12086220169361,5.787037037037037,5.473571236919775,0,0,0,0
13:00,0,0,0,0,0,0,0,0,0.0,5.214836577304443,5.4411764705882355,6.277893484082118,5.082932049224184,7.467282525019246,7.083333333333333,8.612825328682588,0,0,0,0
14:00,0,0,0,0,0,0,0,0,0.0,8.850532500918105,10.273109243697478,9.074680154715859,8.587479935794542,9.83448806774442,11.782407407407407,10.330024148108398,0,0,0,0
15:00,0,0,0,0,0,0,0,0,33.33333333333333,11.164157179581343,11.722689075630251,11.663195477536448,12.279293739967898,10.31562740569669,10.74074074074074,10.839817547625435,0,0,0,0
16:00,0,0,0,0,0,0,0,0,0.0,12.302607418288652,10.1890756302521,9.580481999404938,9.523809523809524,9.237875288683602,8.75,9.632412127716663,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0.0,9.401395519647448,10.021008403361344,8.925914906277892,8.962011771000535,8.602771362586605,8.472222222222223,8.854306412664341,0,0,0,0
18:00,0,0,0,0,0,0,0,0,0.0,5.986044803525523,6.134453781512605,4.790240999702469,5.510968432316747,4.926866820631255,4.444444444444445,5.55406493158036,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0.0,2.350348879911862,2.899159663865546,1.8446890806307645,2.568218298555377,2.75211701308699,2.8009259259259256,2.280654682049906,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0.0,2.276900477414616,1.8907563025210083,1.7851829812555786,3.5580524344569286,2.5981524249422634,2.2916666666666665,1.1000804936946607,0,0,0,0
21:00,0,0,0,0,0,0,0,0,66.66666666666666,2.4237972824091076,2.1848739495798317,2.261231776257066,3.0230069555912253,2.405696689761355,2.824074074074074,2.2269922189428493,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0.0,1.9831068674256336,2.331932773109244,2.469503124070217,2.0331728196896734,2.232486528098537,2.5925925925925926,2.1464985242822645,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0.0,2.0198310686742564,2.457983193277311,1.7851829812555786,2.327447833065811,2.001539645881447,2.5231481481481484,1.6098738932116985,0,0,0,0
