Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,10,4,1,22,22,14,4,3,5,15,13,4,7,7,19,10,5,7,22,10
01:00,8,2,3,11,5,1,8,3,9,12,9,12,8,5,10,4,9,4,4,8
02:00,26,14,3,20,7,12,3,2,16,23,34,16,16,14,25,10,6,11,52,3
03:00,35,36,29,33,41,35,33,16,19,28,62,16,21,21,42,3,7,11,39,10
04:00,53,59,55,70,75,86,70,32,22,43,67,61,123,27,34,9,11,25,30,6
05:00,88,65,33,90,96,124,77,48,23,33,39,21,23,67,17,8,15,14,26,16
06:00,66,92,92,107,114,151,89,79,28,31,35,23,19,31,21,5,13,15,19,5
07:00,53,135,71,95,125,137,79,77,53,41,82,28,171,30,120,22,26,29,22,16
08:00,78,187,72,113,94,124,101,88,45,42,99,53,133,101,148,54,51,53,51,33
09:00,49,172,82,125,111,128,94,127,84,68,185,74,112,118,89,77,59,97,87,54
10:00,80,135,63,100,141,233,128,143,82,106,143,104,117,90,110,99,58,76,92,41
11:00,98,99,69,137,174,272,110,188,93,115,179,102,133,98,125,69,74,63,109,40
12:00,103,53,59,71,177,153,101,159,79,111,153,77,112,106,72,61,78,56,41,34
13:00,66,113,24,84,170,171,149,165,33,58,57,49,56,47,47,57,35,40,26,7
14:00,82,112,61,90,138,164,150,114,61,85,99,72,94,136,80,46,65,53,26,10
15:00,67,88,102,126,198,174,152,135,70,118,100,78,94,86,80,56,46,61,44,38
16:00,105,106,87,124,187,193,100,154,82,114,111,50,97,88,54,28,67,58,55,85
17:00,58,120,80,153,239,146,118,90,74,101,75,53,58,31,59,19,55,87,30,34
18:00,45,68,80,160,185,108,82,46,61,68,40,15,30,12,27,15,45,43,14,17
19:00,31,55,16,54,69,41,59,35,17,15,29,12,9,6,22,8,15,13,3,5
20:00,3,14,22,15,17,24,35,8,6,12,11,10,17,15,14,13,24,22,18,12
21:00,7,13,14,10,10,33,20,4,8,9,12,14,8,8,23,15,10,11,6,3
22:00,10,3,15,4,15,17,11,6,14,17,12,33,14,10,11,2,13,13,5,11
23:00,5,7,9,13,17,9,0,6,11,6,8,14,10,5,12,9,4,12,8,7
