Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,229,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,0,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,91,0,0,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,78,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,123,0,0,0,0
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,173,0,0,0,0
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,151,0,0,0,0
11:00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,265,0,0,0,0
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,226,0,0,0,0
13:00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,199,0,0,0,0
14:00,0,0,0,0,0,0,0,0,1,0,0,0,2,4,2,224,0,0,0,0
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,236,0,0,0,0
16:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,262,0,0,0,0
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,199,0,0,0,0
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,140,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,187,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,203,0,0,0,0
