Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,2,2,1,1,4,16,37,55,26,28,33,10,13
01:00,0,0,0,0,0,0,0,0,2,3,0,0,4,28,27,22,12,12,63,14
02:00,0,0,0,0,0,0,0,4,0,1,0,0,5,12,16,13,14,15,8,8
03:00,0,0,0,0,0,0,0,0,0,1,3,4,0,19,13,21,1,8,5,3
04:00,0,0,0,0,0,0,0,0,0,2,0,1,1,8,6,14,1,15,7,3
05:00,0,0,0,0,0,0,0,1,3,3,17,6,7,5,0,15,5,20,4,7
06:00,0,0,0,0,0,0,0,13,3,10,15,6,2,13,4,6,26,22,10,20
07:00,0,0,0,0,0,0,0,34,16,59,36,46,39,32,46,58,23,24,35,23
08:00,0,0,0,0,0,0,0,58,133,152,165,156,137,140,85,75,79,141,138,133
09:00,0,0,0,0,0,0,0,118,204,189,249,264,205,245,178,150,175,227,291,432
10:00,0,0,0,0,0,0,0,159,260,241,408,310,291,330,241,212,287,339,383,533
11:00,0,0,0,0,0,0,0,166,293,330,357,360,296,383,268,263,366,422,444,636
12:00,0,0,0,0,0,0,0,110,246,256,254,181,173,226,159,186,430,423,366,469
13:00,0,0,0,0,0,0,0,151,251,274,429,349,268,385,238,245,430,471,437,597
14:00,0,0,0,0,0,0,0,190,311,374,455,390,322,442,303,342,527,532,527,745
15:00,0,0,0,0,0,0,0,214,265,333,441,348,406,433,390,368,534,584,582,885
16:00,0,0,0,0,0,0,0,132,276,310,351,285,333,431,281,248,496,498,576,633
17:00,0,0,0,0,0,0,0,57,98,109,79,97,182,155,162,224,322,250,294,355
18:00,0,0,0,0,0,0,0,27,9,22,19,23,76,83,64,163,220,158,140,158
19:00,0,0,0,0,0,0,0,13,14,17,12,11,52,66,60,102,180,84,72,132
20:00,0,0,0,0,0,0,0,11,12,7,12,14,39,71,50,97,215,41,63,128
21:00,0,0,0,0,0,0,0,20,12,3,4,11,39,64,72,80,93,47,39,124
22:00,0,0,0,0,0,0,0,10,5,2,9,7,20,83,80,92,76,65,87,99
23:00,0,0,0,0,0,0,0,1,3,2,1,14,15,79,62,68,90,39,49,80
