Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,5,491,353,490,354,229,343,244,148,439,547,95,0,0
01:00,0,0,0,0,0,0,5,287,274,264,224,193,177,120,94,238,360,61,0,0
02:00,0,0,0,0,0,0,3,174,210,159,190,91,139,65,57,186,150,24,0,0
03:00,0,0,0,0,0,0,0,114,128,59,90,44,49,41,33,126,102,13,0,0
04:00,0,0,0,0,0,0,0,98,91,32,35,35,28,47,37,94,85,8,0,0
05:00,0,0,0,0,0,0,1,80,60,30,21,37,35,89,69,139,45,16,0,0
06:00,0,0,0,0,0,2,0,69,55,52,33,40,65,68,73,85,71,11,0,0
07:00,0,0,0,0,0,0,0,95,116,165,211,133,293,120,98,116,120,19,0,0
08:00,0,0,0,0,0,3,1,162,191,267,198,182,217,121,79,161,153,51,0,0
09:00,0,0,0,0,0,1,4,196,177,184,192,143,271,155,95,153,261,42,0,0
10:00,0,0,0,0,0,3,5,341,206,247,214,187,422,188,92,194,354,72,0,0
11:00,0,0,0,0,2,1,3,380,261,278,305,200,445,249,144,226,415,60,0,0
12:00,0,0,0,0,0,0,12,404,236,328,292,195,394,210,155,216,614,83,0,0
13:00,0,0,0,0,0,1,14,352,244,245,264,173,439,152,146,209,488,74,0,0
14:00,0,0,0,0,1,0,7,447,273,344,346,202,414,152,165,243,582,91,0,0
15:00,0,0,0,0,0,2,9,526,240,354,364,179,428,217,182,240,563,102,0,0
16:00,0,0,0,0,0,2,2,473,279,280,378,212,356,233,150,282,578,98,0,0
17:00,0,0,0,0,0,3,12,463,335,311,322,246,367,198,169,293,573,118,0,0
18:00,0,0,0,0,0,1,5,533,342,333,349,285,476,223,224,321,616,164,0,0
19:00,0,0,0,0,0,0,11,557,290,246,377,356,639,372,290,366,597,197,0,0
20:00,0,0,0,0,1,1,8,580,341,312,437,383,621,384,349,428,608,196,0,0
21:00,0,0,0,0,0,0,5,584,390,411,543,363,688,475,383,490,758,162,0,0
22:00,0,0,0,0,0,0,14,652,447,490,576,343,666,483,397,471,771,126,0,0
23:00,0,0,0,0,0,2,8,592,413,593,471,266,640,306,243,425,674,128,0,0
