Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,14,12,7,23,2,5,1,3,4,9,6,2,0
01:00,0,0,0,0,0,0,1,8,3,6,10,4,1,0,0,8,4,11,1,2
02:00,0,0,0,0,0,0,0,12,1,15,9,2,4,2,5,6,3,1,0,0
03:00,0,0,0,0,0,0,1,13,0,19,4,1,2,11,3,0,1,7,0,0
04:00,0,0,0,0,0,0,0,1,8,12,5,0,0,0,1,0,1,0,0,1
05:00,0,0,0,0,0,0,0,6,3,15,4,0,2,0,0,0,0,0,0,3
06:00,0,0,0,0,0,0,0,4,9,13,7,0,1,0,0,1,0,0,0,0
07:00,0,0,0,0,0,0,0,0,10,18,5,0,2,0,4,1,0,0,0,0
08:00,0,0,0,0,0,0,0,3,12,21,8,5,3,1,6,2,4,9,0,2
09:00,0,0,0,0,0,0,7,6,18,33,23,19,19,20,19,9,14,15,8,20
10:00,0,0,0,0,0,0,11,24,40,54,73,41,48,51,46,39,47,28,26,27
11:00,0,0,0,0,0,0,10,49,76,105,113,63,86,73,89,67,66,65,55,82
12:00,0,0,0,0,0,0,17,43,61,72,94,61,71,85,67,47,72,41,49,20
13:00,0,0,0,0,0,0,22,45,71,72,106,47,55,51,62,64,71,48,44,44
14:00,0,0,0,0,0,0,28,93,105,91,158,80,106,110,130,86,64,104,63,72
15:00,0,0,0,0,0,0,32,125,106,142,157,76,148,138,148,109,69,90,70,82
16:00,0,0,0,0,0,0,34,75,95,135,166,98,135,138,113,105,91,67,53,64
17:00,0,0,0,0,0,0,53,91,84,130,163,81,109,106,108,67,54,60,41,14
18:00,0,0,0,0,0,0,23,103,75,117,124,63,40,30,48,31,38,56,14,5
19:00,0,0,0,0,0,0,11,114,57,67,75,31,18,11,16,24,20,27,7,7
20:00,0,0,0,0,0,0,7,61,57,27,50,21,8,4,13,12,14,31,16,4
21:00,0,0,0,0,0,0,8,49,39,16,19,10,8,1,10,11,15,21,5,0
22:00,0,0,0,0,0,0,2,11,30,19,32,9,8,5,13,12,32,29,6,1
23:00,0,0,0,0,0,0,3,12,27,32,13,8,6,2,10,5,16,13,6,0
