Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6779661016949152,0.5430242272347535
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6779661016949152,0.5012531328320802
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3389830508474576,0.7936507936507936
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.37593984962406013
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6265664160401002
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3389830508474576,1.1278195488721803
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254237288,1.921470342522974
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3389830508474576,2.0050125313283207
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6779661016949152,2.2556390977443606
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3728813559322033,2.798663324979114
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.406779661016949,6.516290726817042
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.406779661016949,10.48454469507101
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.491525423728813,11.988304093567251
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.54237288135593,9.064327485380117
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.745762711864407,6.8922305764411025
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.203389830508476,7.852965747702589
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.559322033898304,9.48203842940685
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.813559322033898,6.599832915622389
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.745762711864407,5.639097744360902
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050847457627119,4.135338345864661
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.067796610169491,2.5480367585630743
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508474576,2.3391812865497075
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3559322033898304,2.0885547201336676
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.101694915254238,1.4202172096908938
