Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,5,14,4,18,126,82,101,108,61,10,6,8,31,36,234,212,36
01:00,0,0,0,3,15,3,45,58,28,72,48,55,138,98,78,58,49,27,20,21
02:00,0,0,0,0,9,3,24,25,20,26,15,28,42,46,14,60,57,25,39,23
03:00,0,0,0,0,2,4,2,3,7,8,9,9,1,19,10,68,73,24,32,31
04:00,0,0,0,0,0,4,2,1,2,8,1,10,2,14,1,48,49,34,44,27
05:00,0,0,0,0,0,2,4,4,0,5,0,2,4,6,7,52,76,29,48,25
06:00,0,0,0,2,1,2,7,4,2,2,8,10,7,10,41,54,76,32,32,32
07:00,0,0,0,4,14,7,16,13,13,14,11,18,19,18,17,79,75,27,46,37
08:00,0,0,0,18,20,19,33,35,27,24,29,30,31,29,32,65,44,25,51,35
09:00,0,0,0,36,55,53,82,72,52,41,48,43,39,31,52,37,35,14,40,30
10:00,0,0,0,53,88,44,107,87,60,62,58,58,57,46,54,22,22,17,31,22
11:00,0,0,0,36,93,66,138,81,92,60,71,53,46,43,56,9,27,9,22,12
12:00,0,0,0,33,76,50,102,89,65,49,78,69,50,41,62,4,11,2,9,3
13:00,0,0,0,34,72,54,99,78,73,40,51,53,29,47,68,12,6,2,4,2
14:00,0,0,0,38,63,64,104,86,57,54,40,38,49,47,49,12,5,1,1,4
15:00,0,0,0,37,93,56,112,89,64,51,54,50,60,55,50,8,3,0,6,0
16:00,0,0,0,50,93,103,103,75,89,51,63,60,82,43,55,8,2,1,1,2
17:00,235,204,196,140,84,65,85,54,56,47,47,60,63,34,13,1,0,0,3,1
18:00,0,0,0,38,48,37,69,27,24,16,20,25,28,29,24,0,0,1,2,0
19:00,0,0,0,18,35,42,33,17,6,22,25,17,18,16,9,0,0,0,0,0
20:00,0,0,0,12,49,29,27,5,10,6,9,8,9,10,7,3,0,1,1,1
21:00,0,0,0,11,58,14,29,7,11,3,10,6,5,4,9,1,1,2,0,0
22:00,0,0,0,9,16,25,17,14,4,4,8,6,5,10,11,243,187,37,4,137
23:00,0,0,0,12,15,13,14,23,69,13,20,56,2,3,10,12,49,15,4,7
