Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,131,132,123,156,123,74,119,132,133,128,98,115
01:00,0,0,0,0,0,0,0,0,114,103,92,104,86,48,92,106,88,79,87,66
02:00,0,0,0,0,0,0,0,0,55,62,72,88,50,51,44,55,76,64,50,56
03:00,0,0,0,0,0,0,0,0,58,40,41,51,42,25,33,40,49,32,25,36
04:00,0,0,0,0,0,0,0,0,46,31,26,34,28,12,32,22,21,23,16,14
05:00,0,0,0,0,0,0,0,0,41,22,13,36,27,13,19,23,12,19,9,12
06:00,0,0,0,0,0,0,0,0,37,25,20,38,32,24,28,14,24,32,16,15
07:00,0,0,0,0,0,0,0,0,46,21,26,20,23,20,28,31,56,80,59,27
08:00,0,0,0,0,0,0,0,0,63,61,53,44,58,55,51,126,241,258,233,207
09:00,0,0,0,0,0,0,0,0,133,97,118,105,123,78,115,121,147,142,126,146
10:00,0,0,0,0,0,0,0,0,184,159,195,195,166,125,164,159,156,166,157,191
11:00,0,0,0,0,0,0,0,0,213,209,317,239,223,176,228,246,185,176,179,197
12:00,0,0,0,0,0,0,0,0,239,203,238,225,233,209,159,249,182,191,211,207
13:00,0,0,0,0,0,0,0,0,232,212,284,228,244,213,234,226,185,172,203,230
14:00,0,0,0,0,0,0,0,0,241,245,281,252,271,247,229,306,221,176,225,295
15:00,0,0,0,0,0,0,1,0,259,269,326,264,291,292,262,276,219,250,235,268
16:00,0,0,0,0,0,0,0,0,307,270,339,311,262,290,232,319,227,231,228,284
17:00,0,0,0,0,0,0,0,0,351,225,343,271,240,249,246,275,209,179,227,228
18:00,0,0,0,0,0,0,0,0,287,231,250,246,188,198,201,205,173,174,194,206
19:00,0,0,0,0,0,0,0,0,288,224,255,243,204,153,173,189,158,166,163,169
20:00,0,0,0,0,0,0,0,0,344,228,291,288,223,179,144,192,141,145,190,184
21:00,0,0,0,0,0,0,0,0,311,209,352,442,346,323,315,273,177,166,213,184
22:00,0,0,0,0,0,0,0,0,312,225,250,277,359,245,263,247,165,175,205,221
23:00,0,0,0,0,0,0,0,0,245,159,142,180,149,98,117,157,145,160,160,169
