Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,4,75,48,92,115,130,140,154,179,133
01:00,0,0,0,0,0,0,0,0,0,0,5,52,76,51,75,92,101,101,136,124
02:00,0,0,0,0,0,0,0,0,0,0,1,32,49,51,46,75,111,55,84,68
03:00,0,0,0,0,0,0,0,0,0,0,0,41,21,28,24,34,53,19,20,30
04:00,0,0,0,0,0,0,0,0,0,0,0,6,10,6,12,12,5,2,7,5
05:00,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,3,4,2,0,1
06:00,0,0,0,0,0,0,0,0,0,0,1,2,0,2,5,6,1,2,3,6
07:00,0,0,0,0,0,0,0,0,0,0,4,5,2,6,5,8,11,10,9,2
08:00,0,0,0,0,0,0,0,0,0,0,2,14,8,33,22,28,37,26,22,11
09:00,0,0,0,0,0,0,0,0,0,0,6,35,41,57,39,53,45,39,21,27
10:00,0,0,0,0,0,0,0,0,0,0,15,39,62,59,70,49,45,56,40,14
11:00,0,0,0,0,0,0,0,0,0,0,7,29,32,47,58,64,52,51,63,28
12:00,0,0,0,0,0,0,0,0,0,0,5,20,43,27,45,41,51,58,38,40
13:00,0,0,0,0,0,0,0,0,0,0,6,48,44,59,95,80,88,94,77,65
14:00,0,0,0,0,0,0,0,0,0,0,4,68,70,74,108,91,117,123,81,73
15:00,0,0,0,0,0,0,0,0,0,0,7,59,58,103,118,108,161,103,109,117
16:00,0,0,0,0,0,0,0,0,0,0,9,59,68,108,119,100,134,130,139,139
17:00,0,0,0,0,0,0,0,0,0,0,12,74,101,131,111,117,151,162,165,154
18:00,0,0,0,0,0,0,0,0,0,0,6,84,116,107,106,118,126,139,199,174
19:00,0,0,0,0,0,0,0,0,0,0,10,86,73,94,134,119,145,142,161,118
20:00,0,0,0,0,0,0,0,0,0,0,6,75,88,62,103,131,105,121,116,148
21:00,0,0,0,0,0,0,0,0,0,0,3,83,124,112,79,115,99,184,124,105
22:00,0,0,0,0,0,0,0,0,0,0,2,56,100,117,149,137,125,165,163,113
23:00,0,0,0,0,0,0,0,0,0,0,2,57,125,136,158,176,167,164,174,126
